Mahi Rahi,value,Wasim Faruk,value,Abdul Gaffar,value,Tareque Anu,value,MZI,value,Niyaz Morshed,value,Hasan Mahbub,value,Nir Shondhani,value,Abu Hena Md Ashraful Islam,value,Kandari Athorbo,value,Emon Jubayer,value
করে , 1422,আমাদের , 911,না , 1905,করে , 1942,না , 2756,না , 1020,না , 3655,না , 2951,না , 2114,করে , 2094,না , 2082
তার , 1299,করে , 729,করে , 1546,না , 1759,করে , 2747,এবং , 995,করে , 2572,করে , 1861,করে , 1827,এই , 1539,করে , 1669
আর , 1160,না , 593,একটা , 982,সেই , 1563,এই , 2109,করে , 982,আমি , 2266,একটা , 1358,আমার , 1188,না , 1401,আর , 1291
না , 1079,আর , 530,আর , 894,এই , 1552,আমি , 2109,এই , 744,আমার , 2149,আমি , 1218,আর , 1028,এবং , 1320,আমি , 1057
একটি , 835,তার , 505,থেকে , 817,তার , 1427,আমার , 1701,থেকে , 692,তার , 1989,এই , 1168,থেকে , 972,আর , 1185,একটা , 939
হয় , 832,থেকে , 442,কিন্তু , 776,এক , 1325,একটা , 1676,একটা , 627,আর , 1877,আমার , 1149,তার , 931,তার , 1144,আমার , 911
এই , 785,কোন , 437,আমার , 734,এবং , 1324,আমাদের , 1368,কিন্তু , 497,সে , 1628,থেকে , 1012,আমি , 921,আমার , 1114,বলল , 908
জন্য , 729,হয় , 415,এই , 633,সাথে , 1232,তাদের , 1300,সাথে , 457,এই , 1275,কিন্তু , 944,সে , 906,থেকে , 1055,থেকে , 788
থেকে , 698,যে , 413,এক , 623,থেকে , 1182,তার , 1236,যে , 432,একটা , 1236,কোন , 931,এই , 824,আমি , 1050,এই , 776
যে , 660,জন্য , 401,হয় , 590,ছিল , 1148,সেই , 1189,হয় , 414,হয়ে , 1217,তার , 916,দিয়ে , 763,জন্য , 876,বলে , 755
আমার , 584,পর , 367,আছে , 563,আর , 1102,দেশের , 1147,আমি , 410,কী , 1146,আর , 869,হয়ে , 670,ব্লগার , 838,কী , 733
হয়ে , 581,কি , 353,তার , 557,কিন্তু , 1054,যে , 1060,এর , 404,এবং , 1107,হয়ে , 793,এক , 665,একটি , 833,ছিল , 723
the , 566,এই , 347,মতো , 527,যে , 905,থেকে , 1050,আমার , 395,থেকে , 1104,সে , 735,সাথে , 646,যে , 820,কি , 682
এবং , 547,তাদের , 325,সাথে , 515,হয় , 893,হয় , 1046,তাদের , 390,হয় , 994,সেই , 733,একটা , 595,করা , 747,হয়ে , 677
কোন , 544,আজ , 324,সেই , 493,জন্য , 884,আমরা , 1037,করতে , 372,করতে , 911,আছে , 712,নিয়ে , 590,কিন্তু , 744,আছে , 641
করা , 541,বা , 318,আমাদের , 490,কোন , 883,নিয়ে , 1010,আর , 369,নিয়ে , 880,দিয়ে , 702,কিন্তু , 583,কোন , 728,মনে , 614
আমি , 525,করা , 309,আমি , 467,নিয়ে , 825,কিন্তু , 947,ছিল , 354,তো , 857,নিয়ে , 697,কথা , 579,হয় , 697,তো , 614
তিনি , 514,নিয়ে , 282,কী , 456,আমাদের , 712,তারা , 932,করা , 338,সাথে , 842,কি , 676,তো , 564,সাথে , 690,এক , 603
এক , 511,এক , 276,তবে , 453,মনে , 672,এবং , 904,নিয়ে , 337,কোন , 798,সাথে , 660,তিনি , 481,এক , 689,সে , 570
কথা , 491,সেই , 274,তাই , 449,তাদের , 626,করতে , 901,তারা , 331,যায় , 779,হয় , 607,জন্য , 479,হয়ে , 687,কথা , 535
করতে , 490,তাই , 268,কথা , 446,হয়ে , 626,কথা , 895,জন্যে , 329,হবে , 761,হলো , 594,গেল , 478,এর , 662,সঙ্গে , 532
সাথে , 466,তা , 260,থাকে , 422,মত , 623,হবে , 842,সে , 327,যে , 759,নেই , 585,মতো , 448,হবে , 623,যে , 532
কিছু , 465,এর , 252,তো , 412,আছে , 615,কোনো , 839,কোন , 325,কথা , 721,এক , 564,বলে , 447,নিয়ে , 616,এর , 511
কি , 460,হয়েছে , 252,যে , 412,কথা , 603,জন্য , 826,হবে , 309,কিছু , 718,পর , 562,পর , 431,তিনি , 607,বললেন , 500
নিয়ে , 459,হয়ে , 245,করতে , 411,অনেক , 592,হয়ে , 761,এক , 309,দিয়ে , 698,যায় , 560,কী , 415,সেই , 593,যায় , 492
ছিল , 446,করতে , 236,নেই , 387,আমার , 590,করা , 757,তার , 302,জন্যে , 691,জন্য , 555,আছে , 397,করতে , 592,হল , 491
মনে , 446,একটি , 228,যায় , 383,এর , 590,তখন , 747,হয়ে , 301,কিন্তু , 687,ছিল , 546,ছিল , 374,কিছু , 583,তার , 489
একজন , 443,দেশের , 226,ছিল , 374,করা , 586,সেটা , 722,সেটা , 295,নেই , 679,গেল , 537,কোন , 370,হয় , 568,তারপর , 463
দিয়ে , 437,আমার , 223,সে , 371,কি , 578,করার , 693,কিছু , 295,এক , 645,হবে , 535,হলো , 367,তাদের , 523,ওপর , 462
কিন্তু , 405,হবে , 223,হলো , 368,দেখা , 559,কিছু , 684,তবে , 267,মনে , 622,করতে , 531,দু , 364,কি , 513,নিয়ে , 460
of , 388,সরকার , 222,হয়ে , 365,হল , 544,কী , 672,কথা , 254,আমাকে , 613,যে , 504,যে , 357,করেন , 494,একটি , 440
সে , 381,এবং , 219,মনে , 365,কিছু , 518,নেই , 663,শুরু , 248,আছে , 608,কথা , 485,কিছু , 352,দিয়ে , 482,গেল , 434
বলে , 379,সাথে , 215,বলে , 358,মাঝে , 516,আছে , 653,যায় , 240,এখন , 595,বলে , 475,বসে , 340,সে , 442,হয় , 421
আমাদের , 375,কিন্তু , 215,দিয়ে , 335,আমি , 474,একটি , 645,নি , 229,থাকে , 587,কিছু , 458,কি , 339,ছিল , 439,পর , 417
