Iteration,Training Error,Validation Error
1,85.3615520282,83.064516129
2,83.6860670194,82.2580645161
3,80.6878306878,81.25
4,76.8077601411,76.6129032258
5,76.8077601411,76.6129032258
6,74.7795414462,77.4193548387
7,72.0458553792,68.75
8,68.60670194,66.1290322581
9,61.5520282187,60.2822580645
10,52.380952381,55.0403225806
11,52.380952381,55.0403225806
12,51.5873015873,55.6451612903
13,51.5873015873,55.6451612903
14,47.619047619,49.1935483871
15,42.9453262787,42.9435483871
16,37.9188712522,38.3064516129
17,31.6578483245,34.4758064516
18,30.6878306878,34.4758064516
19,30.6878306878,34.4758064516
20,28.9241622575,33.4677419355
21,28.9241622575,33.4677419355
22,24.3386243386,31.0483870968
23,22.0458553792,29.2338709677
24,20.5467372134,28.2258064516
25,16.1375661376,24.1935483871
26,14.9911816578,22.7822580645
27,13.139329806,19.9596774194
28,11.2874779541,19.9596774194
29,9.34744268078,20.1612903226
30,5.37918871252,18.3467741935
31,3.79188712522,16.5322580645
32,2.91005291005,15.1209677419
33,2.55731922399,15.3225806452
34,2.6455026455,15.1209677419
35,2.38095238095,14.9193548387
36,2.38095238095,15.3225806452
37,1.85185185185,13.1048387097
38,1.49911816578,12.2983870968
39,1.14638447972,12.2983870968
40,1.49911816578,13.5080645161
41,1.67548500882,13.3064516129
42,1.67548500882,13.3064516129
43,1.67548500882,13.3064516129
44,0.793650793651,12.7016129032
45,0.881834215168,13.1048387097
46,0.440917107584,12.7016129032
47,0.440917107584,13.1048387097
48,0.26455026455,13.1048387097
49,0.26455026455,13.1048387097
50,0.26455026455,13.3064516129
51,0.26455026455,9.67741935484
52,0.176366843034,9.87903225806
53,0.176366843034,10.0806451613
54,0.176366843034,10.0806451613
55,0.176366843034,10.0806451613
56,0.26455026455,10.2822580645
57,0.26455026455,10.2822580645
58,0.0,11.6935483871
59,0.0,10.2822580645
60,0.0,10.2822580645
61,0.0,9.27419354839
62,0.0,8.26612903226
63,0.0,8.26612903226
64,0.0,8.26612903226
65,0.0,7.86290322581
66,0.0,7.25806451613
67,0.0,7.25806451613
68,0.0,7.66129032258
69,0.0,7.66129032258
70,0.0,7.45967741935
71,0.0,7.45967741935
72,0.0,7.0564516129
73,0.0,6.65322580645
74,0.0,6.65322580645
75,0.0,6.45161290323
76,0.0,7.66129032258
77,0.0,8.06451612903
78,0.0,8.06451612903
79,0.0,7.66129032258
80,0.0,7.45967741935
81,0.0,7.45967741935
82,0.0,7.25806451613
83,0.0,6.85483870968
84,0.0,6.85483870968
85,0.0,6.85483870968
86,0.0,6.65322580645
87,0.0,7.66129032258
88,0.0,7.66129032258
89,0.0,8.06451612903
90,0.0,8.46774193548
91,0.0,8.26612903226
92,0.0,8.26612903226
93,0.0,7.86290322581
94,0.0,7.66129032258
95,0.0,8.26612903226
96,0.0,8.06451612903
97,0.0,8.26612903226
98,0.0,8.06451612903
99,0.0,7.66129032258
100,0.0,7.25806451613
101,0.0,7.45967741935
102,0.0,7.0564516129
103,0.0,6.85483870968
104,0.0,7.0564516129
105,0.0,7.25806451613
106,0.0,7.86290322581
107,0.0,7.45967741935
108,0.0,7.86290322581
109,0.0,8.06451612903
110,0.0,7.86290322581
111,0.0,7.25806451613
112,0.0,7.45967741935
113,0.0,7.25806451613
114,0.0,7.0564516129
115,0.0,7.0564516129
116,0.0,7.0564516129
117,0.0,7.25806451613
118,0.0,7.66129032258
119,0.0,7.66129032258
120,0.0,7.66129032258
121,0.0,7.66129032258
122,0.0,7.25806451613
123,0.0,7.45967741935
124,0.0,7.45967741935
125,0.0,7.45967741935
126,0.0,7.45967741935
127,0.0,7.66129032258
128,0.0,7.66129032258
129,0.0,7.86290322581
130,0.0,7.86290322581
131,0.0,7.86290322581
132,0.0,7.25806451613
133,0.0,7.25806451613
134,0.0,6.85483870968
135,0.0,6.85483870968
136,0.0,7.0564516129
137,0.0,7.45967741935
138,0.0,7.45967741935
139,0.0,7.45967741935
140,0.0,7.66129032258
141,0.0,7.25806451613
142,0.0,7.0564516129
143,0.0,7.0564516129
144,0.0,7.0564516129
145,0.0,7.0564516129
146,0.0,7.0564516129
147,0.0,7.0564516129
148,0.0,6.65322580645
149,0.0,6.85483870968
150,0.0,7.0564516129
151,0.0,7.0564516129
152,0.0,6.85483870968
153,0.0,7.45967741935
154,0.0,7.45967741935
155,0.0,7.0564516129
156,0.0,7.0564516129
157,0.0,6.85483870968
158,0.0,6.65322580645
159,0.0,6.85483870968
160,0.0,7.25806451613
161,0.0,7.45967741935
162,0.0,7.45967741935
163,0.0,7.0564516129
164,0.0,6.65322580645
165,0.0,6.65322580645
166,0.0,6.65322580645
167,0.0,6.25
168,0.0,6.45161290323
169,0.0,6.25
170,0.0,6.45161290323
171,0.0,6.25
172,0.0,6.45161290323
173,0.0,6.45161290323
174,0.0,6.45161290323
175,0.0,6.65322580645
176,0.0,7.0564516129
177,0.0,6.45161290323
178,0.0,7.0564516129
179,0.0,7.0564516129
180,0.0,6.45161290323
181,0.0,6.65322580645
182,0.0,6.65322580645
183,0.0,6.65322580645
184,0.0,6.65322580645
185,0.0,6.45161290323
186,0.0,6.45161290323
187,0.0,6.45161290323
188,0.0,6.25
189,0.0,6.45161290323
190,0.0,6.65322580645
191,0.0,6.65322580645
192,0.0,6.85483870968
193,0.0,6.85483870968
194,0.0,6.85483870968
195,0.0,6.65322580645
196,0.0,6.85483870968
197,0.0,6.85483870968
198,0.0,6.65322580645
199,0.0,7.25806451613
