সুলেমান সাহেব
মনে আছে
কিন্তু সে
শুরু হয়
শ্বাস প্রশ্বাস
শেখ মুজিব
মরিয়ম বেগম
বেশ ভালো
পাওয়া যায়
পর্ব মহাভারতে
বাংলা নাম
ছিলো না
পাড়ে ডিমগুলো
হয় না
আর কোন
মনে হয়
শুরু করে
থেকে বের
হয়ে গেলো
না না
বিপদমুক্ত বলে
কিন্তু আমার
কিছু না
কিন্তু এই
কী করে
পারব না
ঘটোৎকচ মহাভারতে
কিংকু চৌধারি
দেখা যায়
তিনি বলেন
হয়ে যাবে
জিজ্ঞেস করে
বলে মনে
কি করে
আসার পর
হা হা
বোধ হয়
বের করে
শেষ পর্যন্ত
দিতে হবে
সাংবাদিক মোশতাক
ঠোঁট সেমি
না কেউ
না আমার
নামে একটি
শেখ হাসিনা
পর পর
গ্রাম ডানা
করতে করতে
আর আমি
ভারত নেপাল
আবাসিক পাখি
সেই সাথে
দু টি
যে কোনো
গ্রামীণ ব্যাংকের
কথা বলে
কালো রঙের
এই যে
অধ্যাপক মোশাররফ
বিশ্রাম নিন
হরপ্পা সভ্যতার
কথাটা শুনে
ভালো করে
আমি আর
এর সঙ্গে
কথা নয়
ইস্কুলবেলার গল্প
যে কোন
হয়ে গেল
ঠিক তখনই
দেয়া হয়েছে
আর কোনো
হইব না
দক্ষিণ পূর্ব
মারুফি ভাই
অবাক হয়ে
হয়ে যায়
হাত দিয়ে
পারে নি
না সে
করার জন্য
যে কারণে
বলে না
দেখা যাচ্ছে
সম্ভব নয়
ফিসফিস করে
আব্দুল ওহাবের
থাকতে পারে
এবং তার
টেকেরঘাট সাব
প্রজাতি বাংলাদেশে
সে কাঁদছে
বছর পর
ধীরে ধীরে
সাথে কথা
সাথে দেখা
ইংরেজি নাম
সব মিলিয়ে
না বলে
ছিল না
বাংলাদেশে প্রজাতি
না তার
না স্যার
পারে না
জানি না
বলল আমি
আমি বলি
খুব ভালো
না তবে
আসিফ নজরুল
নারী দ্রৌপদী
জানা যায়
হয়ে যায়
হতে পারে
বন্যপ্রাণী আইনে
ভালো লাগে
না করে
হয়ে উঠে
কী যেন
করে সাধারণত
দিকে তাকিয়ে
দেখতে দেখতে
আস্তে আস্তে
পার হয়ে
করতে পারি
বিশেষ করে
প্রফেসর হক
হয়ে উঠেছে
হয়ে ওঠে
নাই কিন্তু
চিৎকার করে
না হয়ে
পা সেমি
করে সে
কী না
যেতে হবে
করে উঠল
না কী
করা হয়
যায় না
ঝাকানাকা বললেন
তার কাছে
সালেহ চৌধুরী
মনে মনে
আল হক
বৈ কি
করা যায়
দু খানা
না এই
না কিন্তু
আরো বেশী
হয় নাই
বারে বারে
হয়ে থাকে
এম কামরুজ্জামান
সেমি ঠোঁট
পাকিস্তান আর্মির
সেমি ওজন
কী হবে
কিছু একটা
হয়ে উঠল
মনুসংহিতা অর্থাৎ
না আমি
মনে হয়
ফিরে আসার
দখল করে
মাঝে মাঝে
হাঁটতে হাঁটতে
করতে হয়
জোর করে
বিশ্বে বিপদমুক্ত
শবাসনে বিশ্রাম
প্রশ্বাস স্বাভাবিক
তা হলো
হয় নি
অপ্রাপ্তবয়স্ক পাখির
দেয়া হয়
আমি তার
না কেন
সাদা রঙের
আর কিছু
বাংলাদেশ রাষ্ট্রের
করতে থাকে
চলে গেল
বড় বড়
মোশতাক আন্দালিব
চলে যায়
হাত থেকে
হাজার হাজার
রাজনৈতিক নারী
না হলে
এর বৈশ্বিক
শা ভা
আমরা আমাদের
কে জানে
কি না
পর্ব ঘটোৎকচ
সাথে সাথে
দেখা হবে
করে ওঠে
সেমি লেজ
এর আগে
মনে করেন
মহাভারতে তিন
এখান থেকে
পড়ে আছে
প্রফেসর আশরাফি
থাকে না
সে কি
এই মুহূর্তে
ইনাম আল
কোন কোন
এখন আর
বের হয়ে
সাকিন সুন্দরবন
হয়ে গেছে
একটু পর
কথা বলতে
না তুমি
কেমন করে
আব্দুল ওহাব
আমি আমার
বার করে
তো আর
দিকে চেয়ে
টেবিলের ওপর
আইনে প্রজাতি
কৃষ্ণ আর
করা হয়েছে
সালেহ চৌধুরীর
খরহহধবঁং ১৭৫৮
মধ্য দিয়ে
প্রজাতির মধ্যে
না হয়
হয় এবং
সেমি পা
সম্ভব না
প্রজাতি সংরক্ষিত
সেমি বিস্তৃতি
নামের অর্থ
করে আর
মনে পড়ে
শেখ মুজিবের
কাঁদছে কারণ
দেখা যায়
বছর ধরে
মনে হলো
অনেক অনেক
এক আশ্চর্য
বলা হয়
আমি জানি
বলা যায়
গায়ের রং
ডিম পাড়ে
কী হলো
অবস্থায় থাকুন
আওয়ামী লীগ
তা কি
দিকে তাকিয়ে
রয়েছে অবস্থা
চলে গেছে
আর কেউ
নীল রঙের
জোছনা বানু
করা হচ্ছে
খুব বেশি
বন্ধ করে
করতে হবে
ফিরে আসে
প্রয়োজনমতো শবাসনে
ছিলো তার
দেশবিদেশের উপকথা
মনে করে
উপ প্রজাতির
চুপ করে
মুই কই
যাই হোক
পাখি দৈর্ঘ্য
দিকে তাকায়
দিন যায়
পাকিস্তান আর্মি
মনে হচ্ছে
নারী কুন্তী
করা হয়েছিলো
আর কী
খনার বচন
বাংলাদেশের বন্যপ্রাণী
কালচে বাদামি
করতে গিয়ে
যেতে পারে
মাসের প্রজনন
বিস্তৃতি রয়েছে
বিবেচিত বাংলাদেশের
প্রাচীন বাংলার
করতে পারে
খাদ্যতালিকায় রয়েছে
ইচ্ছে করে
চৌধারি বললেন
হত্যা করা
দ্রৌপদী পর্ব
হতে থাকে
পা পায়ের
কেউ কেউ
না কি
যায় না
প্রজনন ঋতুতে
বোধ করি
সিলেট বিভাগের
হইতে পারে
কথা না
বৈশ্বিক বিস্তৃতি
বৈজ্ঞানিক নামের
তার মানে
হয় না
হয়তো বা
দিক থেকে
আমার কাছে
পরিবার পৃথিবীতে
পায়ের পাতা
তার সাথে
কুন্তী পর্ব
বছর আগে
না যে
আমার দিকে
সাব সেক্টর
হলো না
না তাই
আমার সাথে
করে না
মনে হল
যাবে না
করার জন্যে
ঠিক আছে
সোয়াচ অভ
আর তার
সে তার
বিচরণ করে
সে যাই
পাওয়া যায়
দু টো
কাছ থেকে
আওয়ামী লীগের
সাব ইন্সপেক্টর
করা হয়
আয়েন উদ্দীন
করে বলে
কাছে এসে
হল না
না আর
বসে আছে
করে একটা
অভ নো
সংরক্ষিত বিবিধ
কোথা থেকে
লেজ সেমি
পুরুষ স্ত্রীপাখির
তাই না
বলে বিবেচিত
হয় নি
হবে না
রমণ সুমহান
