Iteration,Training Error,Validation Error
1,66.7546807489,66.0978384528
2,48.6557849256,49.7155858931
3,44.3831012962,45.9613196815
4,42.2707633221,44.7098976109
5,40.5904944791,43.0034129693
6,39.4863178108,41.5244596132
7,38.5021603457,40.8418657565
8,38.2141142583,40.5005688282
9,37.6860297648,40.2730375427
10,37.1819491119,39.590443686
11,36.8218915026,38.9078498294
12,36.4618338934,38.566552901
13,36.1977916467,38.3390216155
14,36.1257801248,38.4527872582
15,35.9577532405,38.1114903299
16,35.741718675,37.9977246871
17,35.6457033125,37.6564277588
18,35.429668747,37.4288964733
19,35.4536725876,37.4288964733
20,35.3336533845,37.3151308305
21,35.1416226596,37.3151308305
22,35.1656265002,37.2013651877
23,35.0456072972,36.9738339022
24,35.0456072972,37.0875995449
25,35.0216034566,37.0875995449
26,34.9975996159,36.9738339022
27,34.9735957753,37.2013651877
28,34.9255880941,37.0875995449
29,34.9975996159,37.3151308305
30,34.9495919347,37.2013651877
31,34.9495919347,37.0875995449
32,34.9255880941,36.9738339022
33,34.805568891,37.0875995449
34,34.8295727316,37.0875995449
35,34.685549688,37.2013651877
36,34.685549688,37.2013651877
37,34.7335573692,37.0875995449
38,34.685549688,37.0875995449
39,34.7095535286,37.0875995449
40,34.6615458473,36.9738339022
41,34.7095535286,37.0875995449
42,34.7095535286,36.9738339022
43,34.7095535286,37.0875995449
44,34.7095535286,36.9738339022
45,34.7095535286,37.0875995449
46,34.805568891,36.8600682594
47,34.7335573692,36.9738339022
48,34.7575612098,36.7463026166
49,34.6135381661,36.6325369738
50,34.7095535286,36.8600682594
51,34.6375420067,36.6325369738
52,34.685549688,36.8600682594
53,34.5895343255,36.6325369738
54,34.685549688,36.8600682594
55,34.5895343255,36.6325369738
56,34.6375420067,36.7463026166
57,34.4695151224,36.6325369738
58,34.4455112818,36.6325369738
59,34.4695151224,36.6325369738
60,34.4215074412,36.6325369738
61,34.4215074412,36.5187713311
62,34.37349976,36.5187713311
63,34.4455112818,36.5187713311
64,34.4215074412,36.5187713311
65,34.4695151224,36.5187713311
66,34.4215074412,36.5187713311
67,34.3494959193,36.4050056883
68,34.37349976,36.4050056883
69,34.3014882381,36.5187713311
70,34.3254920787,36.5187713311
71,34.3254920787,36.4050056883
72,34.3014882381,36.5187713311
73,34.3014882381,36.4050056883
74,34.3014882381,36.4050056883
75,34.3014882381,36.1774744027
76,34.3254920787,36.1774744027
77,34.2774843975,36.2912400455
78,34.3254920787,36.2912400455
79,34.3014882381,36.2912400455
80,34.2774843975,36.5187713311
81,34.3254920787,36.5187713311
82,34.2774843975,36.5187713311
83,34.3014882381,36.5187713311
84,34.2534805569,36.5187713311
85,34.2534805569,36.5187713311
86,34.2534805569,36.5187713311
87,34.3014882381,36.5187713311
88,34.2774843975,36.5187713311
89,34.3014882381,36.5187713311
90,34.2534805569,36.5187713311
91,34.3014882381,36.5187713311
92,34.2294767163,36.5187713311
93,34.2534805569,36.4050056883
94,34.2294767163,36.5187713311
95,34.2294767163,36.4050056883
96,34.2294767163,36.5187713311
97,34.2534805569,36.4050056883
98,34.2534805569,36.5187713311
99,34.2054728757,36.4050056883
100,34.2294767163,36.4050056883
101,34.1574651944,36.4050056883
102,34.181469035,36.4050056883
103,34.1574651944,36.4050056883
104,34.181469035,36.4050056883
105,34.1574651944,36.4050056883
106,34.181469035,36.4050056883
107,34.1334613538,36.4050056883
108,34.0854536726,36.4050056883
109,34.1334613538,36.2912400455
110,34.1574651944,36.4050056883
