Iteration,Training Error,Validation Error
1,84.3915343915,82.6612903226
2,79.012345679,73.7903225806
3,70.7231040564,68.1451612903
4,62.7865961199,62.7016129032
5,54.0564373898,54.8387096774
6,49.2945326279,47.9838709677
7,43.1216931217,43.1451612903
8,38.1834215168,39.1129032258
9,34.30335097,37.7016129032
10,31.2169312169,34.2741935484
11,29.1005291005,32.8629032258
12,27.1604938272,31.8548387097
13,25.8377425044,30.6451612903
14,24.0740740741,28.6290322581
15,23.2804232804,28.0241935484
16,21.9576719577,26.814516129
17,21.0758377425,25.8064516129
18,20.1058201058,25.2016129032
19,19.4003527337,24.3951612903
20,18.5185185185,24.1935483871
21,17.9894179894,22.5806451613
22,16.5784832451,21.9758064516
23,16.2257495591,21.7741935484
24,14.4620811287,20.7661290323
25,13.7566137566,20.564516129
26,12.8747795414,19.5564516129
27,12.0811287478,19.1532258065
28,11.1111111111,19.1532258065
29,10.405643739,18.5483870968
30,9.70017636684,17.7419354839
31,9.25925925926,17.5403225806
32,8.28924162257,17.3387096774
33,7.76014109347,16.7338709677
34,7.14285714286,16.5322580645
35,6.70194003527,15.9274193548
36,6.34920634921,15.5241935484
37,5.55555555556,14.5161290323
38,4.93827160494,13.9112903226
39,4.40917107584,13.7096774194
40,4.32098765432,13.9112903226
41,4.14462081129,13.5080645161
42,4.05643738977,13.3064516129
43,3.88007054674,13.3064516129
44,3.88007054674,12.9032258065
45,3.61552028219,12.7016129032
46,3.52733686067,12.7016129032
47,3.35097001764,12.7016129032
48,3.35097001764,12.7016129032
49,3.26278659612,12.7016129032
50,3.1746031746,12.9032258065
51,3.1746031746,12.2983870968
52,2.99823633157,12.2983870968
53,2.91005291005,12.0967741935
54,2.73368606702,12.2983870968
55,2.46913580247,12.0967741935
56,2.29276895944,12.0967741935
57,2.20458553792,12.5
58,1.94003527337,12.2983870968
59,2.02821869489,12.0967741935
60,2.02821869489,12.0967741935
61,1.94003527337,12.0967741935
62,1.85185185185,11.6935483871
63,1.85185185185,11.2903225806
64,1.76366843034,11.2903225806
65,1.67548500882,10.685483871
66,1.67548500882,10.685483871
67,1.67548500882,10.685483871
68,1.67548500882,10.685483871
69,1.49911816578,10.685483871
70,1.49911816578,10.685483871
71,1.49911816578,10.8870967742
72,1.49911816578,10.685483871
73,1.41093474427,10.685483871
74,1.32275132275,10.8870967742
75,1.41093474427,10.8870967742
76,1.32275132275,10.8870967742
77,1.32275132275,10.8870967742
78,1.32275132275,10.8870967742
79,1.32275132275,10.8870967742
80,1.32275132275,11.0887096774
81,1.32275132275,11.0887096774
82,1.32275132275,11.0887096774
83,1.32275132275,11.2903225806
84,1.32275132275,11.0887096774
85,1.32275132275,11.2903225806
86,1.32275132275,11.2903225806
87,1.32275132275,11.0887096774
88,1.32275132275,11.2903225806
89,1.32275132275,11.0887096774
90,1.23456790123,11.4919354839
91,1.23456790123,11.6935483871
92,1.23456790123,11.4919354839
93,1.23456790123,11.8951612903
94,1.23456790123,11.6935483871
95,1.23456790123,11.8951612903
96,1.14638447972,11.8951612903
97,1.23456790123,11.6935483871
98,1.14638447972,11.6935483871
99,1.23456790123,11.8951612903
100,1.23456790123,11.8951612903
101,1.23456790123,11.8951612903
102,1.23456790123,11.8951612903
103,1.23456790123,12.0967741935
104,1.23456790123,12.0967741935
105,1.23456790123,12.0967741935
106,1.23456790123,12.0967741935
