Iteration,Training Error,Validation Error
1,58.7301587302,51.4112903226
2,51.7636684303,43.1451612903
3,47.619047619,42.9435483871
4,38.6243386243,39.1129032258
5,24.1622574956,33.064516129
6,16.049382716,29.8387096774
7,12.4338624339,28.6290322581
8,11.5520282187,29.6370967742
9,8.81834215168,26.6129032258
10,6.61375661376,23.3870967742
11,4.14462081129,22.3790322581
12,3.88007054674,19.3548387097
13,2.91005291005,18.9516129032
14,2.46913580247,17.5403225806
15,1.94003527337,16.3306451613
16,1.85185185185,17.1370967742
17,1.32275132275,16.5322580645
18,0.881834215168,16.5322580645
19,0.793650793651,12.5
20,0.617283950617,13.7096774194
21,0.26455026455,13.1048387097
22,0.26455026455,12.0967741935
23,0.26455026455,10.8870967742
24,0.440917107584,10.685483871
25,0.176366843034,10.2822580645
26,0.0881834215167,10.2822580645
27,0.0,11.0887096774
28,0.0,12.2983870968
29,0.0,12.2983870968
30,0.0,12.7016129032
31,0.0,12.9032258065
32,0.0,12.7016129032
33,0.0,12.2983870968
34,0.0,12.7016129032
35,0.0,13.3064516129
36,0.0,12.5
37,0.0,12.2983870968
38,0.0,12.5
39,0.0,11.4919354839
40,0.0,12.0967741935
41,0.0,12.2983870968
42,0.0,11.8951612903
43,0.0,11.4919354839
44,0.0,12.2983870968
45,0.0,10.8870967742
46,0.0,11.4919354839
47,0.0,11.4919354839
48,0.0,11.2903225806
49,0.0,11.4919354839
50,0.0,12.0967741935
51,0.0,12.2983870968
52,0.0,11.4919354839
53,0.0,11.2903225806
54,0.0,11.8951612903
55,0.0,11.8951612903
56,0.0,11.6935483871
57,0.0,11.6935483871
58,0.0,11.6935483871
59,0.0,11.6935483871
60,0.0,11.4919354839
61,0.0,11.4919354839
62,0.0,11.2903225806
63,0.0,11.6935483871
64,0.0,11.2903225806
65,0.0,11.2903225806
66,0.0,11.4919354839
67,0.0,11.8951612903
68,0.0,11.6935483871
69,0.0,11.2903225806
70,0.0,10.8870967742
71,0.0,10.8870967742
72,0.0,11.0887096774
73,0.0,10.2822580645
74,0.0,10.2822580645
75,0.0,10.8870967742
76,0.0,10.8870967742
77,0.0,10.8870967742
78,0.0,11.2903225806
79,0.0,11.2903225806
80,0.0,11.2903225806
81,0.0,11.2903225806
82,0.0,10.685483871
83,0.0,10.8870967742
84,0.0,10.685483871
85,0.0,11.0887096774
86,0.0,10.8870967742
87,0.0,10.8870967742
88,0.0,10.685483871
89,0.0,10.685483871
90,0.0,10.685483871
91,0.0,10.685483871
92,0.0,10.2822580645
93,0.0,10.685483871
94,0.0,10.4838709677
95,0.0,10.685483871
96,0.0,10.4838709677
97,0.0,10.685483871
98,0.0,10.685483871
99,0.0,10.8870967742
100,0.0,10.2822580645
101,0.0,10.685483871
102,0.0,10.685483871
103,0.0,10.685483871
104,0.0,10.685483871
105,0.0,10.4838709677
106,0.0,10.685483871
107,0.0,10.685483871
108,0.0,10.685483871
109,0.0,11.0887096774
110,0.0,11.0887096774
111,0.0,10.685483871
112,0.0,10.4838709677
113,0.0,10.4838709677
114,0.0,10.0806451613
115,0.0,10.4838709677
116,0.0,10.2822580645
117,0.0,10.0806451613
118,0.0,10.2822580645
119,0.0,10.4838709677
120,0.0,10.4838709677
121,0.0,10.2822580645
122,0.0,10.0806451613
123,0.0,10.4838709677
124,0.0,11.0887096774
125,0.0,10.8870967742
126,0.0,11.0887096774
127,0.0,11.0887096774
128,0.0,11.2903225806
129,0.0,10.8870967742
130,0.0,10.2822580645
131,0.0,10.2822580645
132,0.0,10.0806451613
133,0.0,10.4838709677
134,0.0,10.4838709677
135,0.0,10.8870967742
136,0.0,11.2903225806
137,0.0,11.2903225806
138,0.0,11.0887096774
139,0.0,10.685483871
140,0.0,10.2822580645
141,0.0,10.4838709677
142,0.0,10.4838709677
143,0.0,11.0887096774
144,0.0,10.685483871
145,0.0,10.685483871
146,0.0,10.8870967742
147,0.0,11.2903225806
148,0.0,11.0887096774
149,0.0,11.4919354839
150,0.0,11.0887096774
151,0.0,11.2903225806
152,0.0,11.2903225806
153,0.0,11.4919354839
154,0.0,11.4919354839
155,0.0,11.2903225806
156,0.0,11.4919354839
157,0.0,11.4919354839
158,0.0,11.4919354839
159,0.0,11.4919354839
160,0.0,11.4919354839
161,0.0,11.0887096774
162,0.0,11.2903225806
163,0.0,11.2903225806
164,0.0,11.2903225806
165,0.0,11.0887096774
166,0.0,11.0887096774
167,0.0,10.8870967742
168,0.0,10.685483871
169,0.0,11.2903225806
170,0.0,10.8870967742
171,0.0,10.8870967742
172,0.0,11.0887096774
173,0.0,11.4919354839
174,0.0,11.4919354839
175,0.0,11.4919354839
176,0.0,11.4919354839
177,0.0,11.4919354839
178,0.0,11.6935483871
179,0.0,11.6935483871
180,0.0,11.6935483871
181,0.0,11.6935483871
182,0.0,11.4919354839
183,0.0,11.4919354839
184,0.0,11.4919354839
185,0.0,11.4919354839
186,0.0,11.4919354839
187,0.0,11.0887096774
188,0.0,11.2903225806
189,0.0,11.0887096774
190,0.0,11.0887096774
191,0.0,11.2903225806
192,0.0,11.4919354839
193,0.0,11.4919354839
194,0.0,11.6935483871
195,0.0,11.4919354839
196,0.0,11.4919354839
197,0.0,11.4919354839
198,0.0,11.4919354839
199,0.0,11.6935483871
