Number of node in 1st hidden layer,train score,validation score,test score,iterations
5,0.901104176668,58.9306029579,61.9489559165,469
10,0.999519923188,82.4800910125,79.3503480278,434
15,0.999759961594,87.7133105802,86.6589327146,532
20,1.0,91.0125142207,90.2552204176,422
25,1.0,93.8566552901,92.1113689095,389
30,1.0,95.1080773606,92.807424594,366
35,1.0,95.5631399317,93.3874709977,353
40,1.0,95.7906712173,94.3155452436,339
45,1.0,95.449374289,94.7795823666,328
50,1.0,96.7007963595,94.5475638051,320
55,1.0,95.7906712173,94.4315545244,313
60,1.0,96.0182025028,94.8955916473,304
65,1.0,96.5870307167,96.1716937355,300
70,1.0,96.1319681456,94.1995359629,295
75,1.0,96.8145620023,94.6635730858,289
80,1.0,96.9283276451,95.0116009281,284
85,1.0,97.0420932878,94.7795823666,280
90,1.0,96.5870307167,95.1276102088,275
95,1.0,97.0420932878,95.0116009281,272
100,1.0,96.5870307167,94.8955916473,271
105,1.0,96.9283276451,95.1276102088,268
110,1.0,96.7007963595,95.3596287703,264
115,1.0,96.5870307167,95.1276102088,263
120,1.0,96.8145620023,95.7076566125,264
125,1.0,96.8145620023,95.475638051,258
130,1.0,96.9283276451,95.2436194896,261
135,1.0,96.9283276451,95.475638051,255
140,1.0,97.0420932878,95.2436194896,256
145,1.0,96.9283276451,95.1276102088,257
150,1.0,96.8145620023,95.5916473318,252
155,1.0,96.9283276451,95.2436194896,251
160,1.0,96.8145620023,95.2436194896,248
165,1.0,96.9283276451,95.2436194896,247
170,1.0,97.0420932878,95.3596287703,245
175,1.0,97.0420932878,95.2436194896,246
180,1.0,97.1558589306,95.0116009281,244
185,1.0,96.9283276451,95.5916473318,244
190,1.0,96.9283276451,95.2436194896,240
195,1.0,96.8145620023,94.8955916473,243
200,1.0,96.8145620023,95.475638051,243
205,1.0,96.7007963595,95.2436194896,240
210,1.0,97.0420932878,95.2436194896,242
215,1.0,97.0420932878,95.475638051,242
220,1.0,96.7007963595,95.5916473318,244
225,1.0,96.9283276451,95.2436194896,240
230,1.0,96.9283276451,95.1276102088,239
235,1.0,96.3594994312,95.5916473318,239
240,1.0,96.9283276451,95.2436194896,239
245,1.0,96.8145620023,95.2436194896,235
250,1.0,96.8145620023,95.2436194896,237
255,1.0,97.0420932878,94.8955916473,238
260,1.0,96.8145620023,95.475638051,236
265,1.0,96.5870307167,95.2436194896,238
270,1.0,96.9283276451,95.475638051,238
275,1.0,96.4732650739,95.2436194896,236
280,1.0,96.8145620023,95.2436194896,232
285,1.0,96.9283276451,95.3596287703,241
290,1.0,96.7007963595,94.8955916473,233
295,1.0,96.4732650739,95.1276102088,235
300,1.0,96.7007963595,95.2436194896,233
305,1.0,96.9283276451,95.475638051,234
310,1.0,96.9283276451,95.0116009281,233
315,1.0,97.0420932878,95.2436194896,235
320,1.0,96.5870307167,95.3596287703,228
325,1.0,96.5870307167,95.2436194896,234
330,1.0,96.7007963595,95.2436194896,230
335,1.0,96.7007963595,95.2436194896,233
340,1.0,97.1558589306,95.1276102088,231
345,1.0,96.7007963595,95.3596287703,226
350,1.0,96.8145620023,95.0116009281,226
355,1.0,96.8145620023,95.3596287703,232
360,1.0,96.9283276451,95.3596287703,227
365,1.0,96.5870307167,95.1276102088,228
370,1.0,96.7007963595,95.5916473318,231
375,1.0,96.4732650739,95.0116009281,228
380,1.0,96.5870307167,95.0116009281,232
385,1.0,96.7007963595,95.2436194896,229
390,1.0,96.5870307167,95.5916473318,223
395,1.0,96.8145620023,95.0116009281,226
