Number of node in 1st hidden layer,train score,validation score,test score,iterations
5,0.921987518003,61.0921501706,62.7610208817,561
10,0.999759961594,82.1387940842,80.0464037123,546
15,1.0,87.7133105802,87.3549883991,547
20,1.0,91.2400455063,91.0672853828,394
25,1.0,93.8566552901,91.7633410673,350
30,1.0,95.5631399317,93.5034802784,317
35,1.0,95.6769055745,93.0394431555,292
40,1.0,95.5631399317,94.0835266821,276
45,1.0,95.6769055745,94.5475638051,254
50,1.0,96.4732650739,94.5475638051,242
55,1.0,96.4732650739,94.6635730858,235
60,1.0,96.2457337884,94.7795823666,224
65,1.0,96.8145620023,95.939675174,213
70,1.0,96.1319681456,94.3155452436,208
75,1.0,97.1558589306,94.6635730858,202
80,1.0,97.1558589306,95.3596287703,196
85,1.0,97.2696245734,94.8955916473,191
90,1.0,97.0420932878,95.3596287703,187
95,1.0,96.9283276451,94.7795823666,183
100,1.0,97.0420932878,94.8955916473,179
105,1.0,97.2696245734,95.1276102088,177
110,1.0,97.0420932878,95.1276102088,173
115,1.0,97.0420932878,95.2436194896,171
120,1.0,97.1558589306,95.475638051,170
125,1.0,97.0420932878,95.3596287703,164
130,1.0,97.2696245734,95.3596287703,164
135,1.0,96.7007963595,95.475638051,160
140,1.0,97.3833902162,95.5916473318,160
145,1.0,97.6109215017,95.3596287703,156
150,1.0,97.1558589306,95.5916473318,155
155,1.0,97.1558589306,95.0116009281,153
160,1.0,97.2696245734,95.475638051,150
165,1.0,97.4971558589,95.475638051,149
170,1.0,97.3833902162,95.3596287703,148
175,1.0,97.1558589306,95.3596287703,146
180,1.0,97.4971558589,95.5916473318,145
185,1.0,97.4971558589,95.939675174,143
190,1.0,97.0420932878,95.3596287703,140
195,1.0,97.1558589306,95.1276102088,141
200,1.0,97.6109215017,95.7076566125,139
205,1.0,97.2696245734,95.5916473318,138
210,1.0,97.7246871445,95.5916473318,137
215,1.0,97.7246871445,95.5916473318,136
220,1.0,97.3833902162,95.7076566125,136
225,1.0,97.4971558589,94.8955916473,135
230,1.0,97.4971558589,95.1276102088,135
235,1.0,97.2696245734,95.5916473318,133
240,1.0,97.7246871445,95.7076566125,132
245,1.0,97.2696245734,95.0116009281,131
250,1.0,97.7246871445,95.1276102088,130
255,1.0,97.4971558589,95.0116009281,130
260,1.0,97.2696245734,95.5916473318,128
265,1.0,97.3833902162,95.475638051,127
270,1.0,97.3833902162,95.2436194896,128
275,1.0,97.0420932878,95.475638051,127
280,1.0,97.4971558589,95.3596287703,125
285,1.0,97.3833902162,95.2436194896,127
290,1.0,97.2696245734,95.3596287703,124
295,1.0,97.1558589306,95.3596287703,124
300,1.0,97.4971558589,95.0116009281,123
305,1.0,97.2696245734,95.2436194896,122
310,1.0,97.2696245734,95.5916473318,122
315,1.0,97.8384527873,95.475638051,123
320,1.0,97.6109215017,95.0116009281,120
325,1.0,97.3833902162,95.3596287703,121
330,1.0,97.1558589306,95.5916473318,120
335,1.0,97.6109215017,95.1276102088,120
340,1.0,97.6109215017,95.5916473318,119
345,1.0,96.9283276451,95.475638051,118
350,1.0,97.2696245734,94.8955916473,118
355,1.0,97.1558589306,95.0116009281,120
360,1.0,97.4971558589,95.1276102088,116
365,1.0,97.4971558589,95.475638051,116
370,1.0,97.6109215017,95.7076566125,117
375,1.0,97.2696245734,95.3596287703,116
380,1.0,97.7246871445,95.3596287703,117
385,1.0,97.3833902162,95.3596287703,114
390,1.0,97.0420932878,95.3596287703,113
395,1.0,97.4971558589,95.3596287703,115
