এক ধরনের
জাগো মানুষ
ওয়ান ইলেভেনের
পোড়াও মানুষ
বাংলা একাডেমির
আমাদের সঙ্গে
তাকিয়ে বলল
লাভ করেন
১৯৭১ সালের
করা হচ্ছে
২০১৬ সকাল
সন্ধ্যা ০০
আর কোনো
বছর বয়সে
জামায়াত শিবিরের
করার জন্য
ঘুম থেকে
মানবতা বিরোধী
বলে মনে
সোহেল ভাই
মি নরম্যান
নতুন করে
টোকন ঠাকুর
ভর্তি হন
এম জি
কলেজ থেকে
সহ অভিনেত্রী
অনেক দিন
ভাঙ্গো মানুষ
কে জানে
না বরং
১৯৬৯ সন্ধ্যা
যোগ দেন
না যে
করে না
হাজার হাজার
হয় তাহলে
তাকিয়ে রইলো
কেন জানি
ভালো লাগে
মনে হল
রাজনৈতিক দল
গভীর শ্রদ্ধা
মানুষ ভাঙ্গো
করা হয়
সকাল ১০
ধীরে ধীরে
করেন তার
কি না
বছর আগে
সাঈদ আহমেদ
কোটি টাকা
মনে পড়ল
আমি আর
চলে যায়
বছর বয়সে
দশমিক শতাংশ
দিকে তাকিয়ে
এক সময়
করতে পারে
হচ্ছে না
করেন তিনি
বাংলা সাহিত্যে
২০১৩ সকাল
বর্তমান সরকারের
হন এবং
হয়ে ওঠে
এডিট ৩১
সাধারণ মানুষ
করা হয়
হয় না
শেখ হাসিনা
তা ছাড়া
না কোনো
সেপ্টেম্বর ২০০৯
প্রকাশিত হয়
শুরু করেন
শুরু করে
হয়ে গেলো
কাগজ ঢাকা
আমার কথা
হল না
জন্মদিনে শুভেচ্ছা
সাথে সাথে
আমার মনে
জামায়াত শিবির
এমন কি
স্মরণ করছি
পারছি না
২৭ শে
শুরু হয়
কে যেন
না আর
না কি
শেষ করে
বড় বড়
মৃত্যুর পর
জাগো জাগো
বিএনপি জামায়াত
বেশ কিছু
হয়ে উঠবার
এক আকাশ
করতে হয়
মানুষ জাগো
আমি বললাম
প্রকাশিত হয়
না এই
খালেদা জিয়া
না তা
তা হচ্ছে
কিছু একটা
পালন করেন
জাতির জনক
খুব ভাল
হয়ে উঠেছিল
নির্বাচিত হন
কথা বলতে
বলা হয়েছে
সব থেকে
অজানা নয়
মানুষ পোড়াও
আওয়ামী লীগ
ডিসেম্বর ১৯৬৯
আমার কাছে
ফকির ইলিয়াস
আমার খুব
হয় নি
যুদ্ধ হয়েছে
মনে পড়ে
হয়ে উঠে
কি কি
ভাঙ্গো ভাঙ্গো
বোঝা যায়
বাংলাদেশ থেকে
খুব বেশি
না কারণ
গভীর শ্রদ্ধায়
পারবে না
মৃত্যুবার্ষিকীতে শ্রদ্ধাঞ্জলি
তার সাথে
মৃত্যুবরণ করেন
বলা যায়
পর তিনি
সালের আজকের
হতে পারে
বসে আছে
মান্না দে
সব সময়ই
বলল না
করেন এবং
জানা যায়
প্রতিষ্ঠিত হয়
কিছু বলতে
করা হয়েছে
তা হলে
শে সেপ্টেম্বর
দিতে হবে
সব কিছু
আমি খুব
করা হয়েছিল
লাগে না
না না
এর আগে
বোধ করে
মধ্য দিয়ে
বিএনপি জামায়াতের
২০০৯ সকাল
আস্তে আস্তে
তিনি বলেছেন
করেন আজ
শুরু হল
বিরোধী দল
নাম ছিল
মনে হয়
তা নিয়ে
কাছ থেকে
আজ তাঁর
সবচেয়ে বেশি
যা হোক
শাহাবাগ শাহাবাগ
করছি গভীর
এই রকম
গড়ে উঠেছিল
কথা হচ্ছে
যে কোনো
দেয়া হয়
সবচেয়ে বড়
যায় না
না হলে
গ্রহণ করেন
