Emon Jubayer,value,Hasan Mahbub,value,Kandari Athorbo,value,MZI,value,Nir Shondhani,value,Tareque Anu,value
মনে হল,180,ছিলো না,127,হতে পারে,97,এই দেশের,374,ছিল না,128,সেই সাথে,172
প্রফেসর আশরাফি,105,হয় না,120,করা হয়,95,এই দেশে,173,না কিন্তু,106,বিশেষ করে,160
মনে হয়,93,হবে না,115,শুরু করে,84,আমাদের দেশের,164,হয়ে গেল,100,ছিল না,106
অধ্যাপক মোশাররফ,77,মনে হয়,114,কাছ থেকে,79,মনে হয়,164,হয়ে গেছে,97,সাথে সাথে,76
ছিল না,73,না আমি,106,ব্লগ লিখেছেনঃ,71,হতে পারে,157,হয় না,94,যে কোন,71
চুপ করে,73,হতে পারে,105,করার জন্য,61,হয় না,155,হয়ে যায়,80,দেখা যায়,71
তার মানে,68,হয়ে যায়,103,মাঝে মাঝে,61,করার জন্য,150,হবে না,72,মাঝে মাঝে,69
সাংবাদিক মোশতাক,68,কী না,103,করতে হবে,60,এক ধরনের,124,জানি না,68,মনে হয়,66
বলে মনে,68,না আমার,90,সামহোয়্যার ইন,60,না আমি,121,পারে না,67,বছর আগে,60
মোশতাক আন্দালিব,65,আমার কাছে,90,যেতে পারে,60,হবে না,118,যায় না,64,হতে পারে,58
বছর আগে,64,হয়ে গেছে,88,যাই হোক,58,কথা বলতে,115,যে কোন,64,শুরু করে,57
যাই হোক,62,যায় না,84,আমার কাছে,56,না কিন্তু,114,মনে মনে,63,অনেক অনেক,56
যে কারণে,61,কাছ থেকে,83,করা হয়েছে,56,আমি জানি,113,মাঝে মাঝে,60,না কিন্তু,53
একটু পর,59,পারে না,76,হয়ে গেছে,56,আমার কাছে,111,কাছ থেকে,60,মনে হল,52
হয় না,58,না তার,75,করা হয়,52,জানি না,109,হতে পারে,57,মনে হয়,51
অভ নো,57,তার সাথে,69,হয়ে থাকে,51,হঠাৎ করে,105,করতে হবে,54,হয় নি,49
সোয়াচ অভ,57,না আর,62,মনে হয়,50,পারে না,104,আর কোন,53,নানা ধরনের,45
সে যাই,56,ধীরে ধীরে,60,দেখা যায়,49,আমার মনে,103,হলো না,52,যাত্রা শুরু,44
জিজ্ঞেস করে,56,করে না,60,কাজ করে,48,করতে হবে,102,যাবে না,51,বছর ধরে,43
টেবিলের ওপর,54,এই যে,58,লিখেছেনঃ মাস,46,বড় বড়,100,করে না,50,দেখা মিলল,43
চলে যায়,52,না সে,57,যে কোন,45,করা হয়,100,না আমি,50,করার জন্য,42
নো গ্রাউন্ড,52,করার জন্যে,57,পাওয়া যায়,45,পারি না,99,করার জন্য,49,দেখা গেল,42
http www,52,না তবে,54,ধীরে ধীরে,43,পারবে না,96,শুরু করলো,48,সেখান থেকে,42
তানিয়া তাবাসসুম,51,তাই না,54,আর কোন,43,আমাদের দেশে,95,দেখা গেল,47,হয়ে গেছে,41
তাজউদ্দীন আহমদ,49,আর কী,53,মনে হচ্ছে,43,করা হয়েছে,92,শুরু করে,47,মনে হচ্ছে,40
কালো রঙের,49,হয়তো বা,53,মাস সপ্তাহ,42,ভর্তি পরীক্ষা,90,জানে না,46,পারে না,39
of the,47,সে তার,53,বের হয়ে,42,দেশের মানুষ,90,দিকে তাকিয়ে,46,এর মাঝে,39
হয়ে যায়,47,হতে থাকে,52,হয়ে যায়,41,কেমন করে,88,করা যায়,45,করা হয়,37
এই মুহূর্তে,47,বের করে,51,এই মুহূর্তে,40,করার জন্যে,86,না এই,44,বেশ কিছু,37
হল না,46,হয়ে যাবে,50,হয়ে যাবে,40,করতে পারে,84,কি করে,42,থেকে শুরু,37
গায়ের রং,46,জানি না,50,বাংলা ব্লগ,38,করতে পারি,82,মনে হয়,42,সাথে দেখা,37
প্রোফেসর আশরাফি,46,কথা বলতে,49,আমার সাথে,38,হয়ে গেছে,82,থাকে না,42,হয় না,36
করা হয়,45,না এই,49,কি করে,38,বের করে,82,না সে,41,করা হয়েছে,36
না আমি,45,করতে থাকে,49,সব কিছু,36,যায় না,81,না বলে,41,আজ পর্যন্ত,36
হতে পারে,44,করতে হবে,48,দিকে তাকিয়ে,36,তা নয়,79,হবার পর,40,ইনাম আল,36
দিকে তাকিয়ে,44,বন্ধ করে,48,ইন ব্লগ,36,আমরা সবাই,79,শুরু করেছে,40,করতে পারে,36
হয়ে গেল,44,আর আমি,47,of the,35,করতে হয়,76,না আমার,40,নামের এক,35
শিব এর,42,করতে পারে,47,রাশির ব্লগারদের,34,সবচেয়ে বড়,76,না আর,39,হয় নি,34
কী যেন,41,হয় নি,46,এখন আর,34,ছিল না,75,পারছি না,39,এবং তার,34
হয়ে ওঠে,41,না কেন,46,এই নিয়ে,34,হয়ে যায়,74,দেখা যাচ্ছে,39,হবে না,34
অবাক হয়ে,40,এখন আর,46,বেঁচে থাকার,33,না এই,73,হয়ে যাবে,38,করা হয়,34
হয়ে গেছে,40,যাবে না,46,আর এই,33,শুরু করে,73,বন্ধ করে,38,হয়ে যায়,33
এর সঙ্গে,39,হয়ে ওঠে,46,না কেন,33,প্রশ্ন ফাঁস,72,সাথে সাথে,38,করে না,33
রাহাত কবির,39,আমি জানি,44,আমি আমার,33,না আমার,72,যাবার পর,38,টিকে আছে,33
নীল রঙের,38,হয়ে গেলো,44,দেখা যাচ্ছে,32,সে রকম,71,কেউ নেই,37,তার সাথে,33
গোবেকলি টেপে,38,কিছু একটা,44,সম্ভব নয়,32,না তাই,71,আর কেউ,37,দেখা হল,32
বলল আমি,38,করা যায়,44,সেখান থেকে,32,শেষ পর্যন্ত,71,মনে হলো,37,রবি ঠাকুর,32
দেখা যায়,38,বলা যায়,44,তার কাছে,32,সেটা নিয়ে,70,পারবে না,37,প্রথমবারের মত,32
কুকুটেনি ট্রাইপিলিয়ানস,37,তার কাছে,44,বলা হয়,32,আমার ধারণা,69,বের করে,36,যাবে না,32
ধীরে ধীরে,36,কথা বলে,44,রাখা হয়েছে,31,দেশের মানুষের,69,দিতে হবে,35,বাংলাদেশ বার্ড,32
পারে না,36,যেতে পারে,43,দেয়া হয়,31,কাজ করে,66,কেউ কেউ,35,হয় না,32
করা যায়,36,আমি তার,43,করতে পারে,31,আমি যখন,65,না কেন,34,করতে হবে,31
লাল রঙের,36,আমার সাথে,43,মনে হলো,31,কিছু একটা,64,চলে গেছে,34,এই পোস্টটি,31
যায় না,35,মনে করে,43,নতুন করে,30,আমি সেটা,64,না তবু,33,এবং সেই,31
নামে পরিচিত,35,কিছু না,43,দিতে হবে,30,খবরের কাগজে,63,কিছু না,33,ব্যবহার করা,31
আজ থেকে,35,না তাই,43,একটা সিগারেট,30,মনে আছে,63,না করে,33,খুব একটা,31
বের করে,35,দিকে তাকিয়ে,43,সাথে সাথে,30,করা যায়,62,পর থেকে,32,কী করে,30
প্রাচীন বাংলার,34,করে সে,42,বলে মনে,30,মন খারাপ,62,যাচ্ছে না,32,সাথে আছে,30
জিজ্ঞেস করল,34,আমি আর,42,আমি আর,29,না করে,62,পারি না,30,করা হল,30
হাসনাত ভাই,34,করতে গিয়ে,42,মতো করে,29,দিকে তাকিয়ে,61,যেতে হবে,30,হাজার হাজার,30
করার জন্য,33,কে জানে,42,আর আমার,29,যে কোনো,60,কিন্তু এই,29,চলে গেছে,29
