 ,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
উপর,10,3,182,68,214,94
ওপর,508,166,29,153,9,13
কি,598,451,591,357,676,281
কী,612,1125,41,714,231,366
কোন,24,751,917,109,931,745
কোনও,200,0,3,15,0,2
কোনো,3,111,139,882,8,39
জন্য,310,21,867,907,555,812
জন্যে,8,690,16,489,1,4
তৈরি,125,112,117,249,3,145
তৈরী,0,3,19,22,109,3
বলল,711,12,67,122,4,75
বললো,0,27,1,2,204,0
বেশি,87,260,184,284,0,121
বেশী,0,1,46,57,214,192
ভাল,1,10,171,11,7,131
ভালো,189,449,88,330,201,49
মত,49,394,190,68,5,526
মতন,181,5,29,3,0,16
মতো,62,202,288,374,368,60
সেই,367,442,643,1275,733,1240
সেটা,20,132,140,761,166,117
সেটি,54,6,14,481,10,52
হল,691,88,131,92,3,454
হলো,2,276,352,246,594,29
হয়ত,4,1,122,0,1,100
হয়তো,77,137,26,110,84,9
