 ,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
তখন,254,250,254,799,290,226
সেই,367,442,643,1275,733,1240
তো,457,856,42,158,427,280
এই,1240,1269,1519,2277,1168,1368
আবার,158,312,211,160,169,388
যায়,477,738,424,504,560,325
না,1690,3720,1414,2954,2951,1663
তার,578,1920,1253,1320,916,1091
এমন,127,404,330,77,141,331
অনেক,233,312,354,615,262,530
তারপর,370,136,164,86,175,89
করে,1678,2520,2100,2923,1861,1780
ব্লগার,6,59,606,27,2,2
হয়েছে,224,329,382,663,228,160
ছিলো,0,533,231,14,2,4
মতো,62,202,288,374,368,60
যে,802,701,818,1130,504,961
হল,691,88,131,92,3,454
গিয়ে,66,377,133,135,333,10
বা,219,363,366,279,130,411
আগে,264,177,155,317,316,302
হবে,226,729,615,911,535,393
এবং,638,1045,859,933,260,1359
এক,717,591,643,511,564,1133
বলল,711,12,67,122,4,75
মাঝে,62,95,310,354,141,526
থাকে,273,539,326,274,315,285
করা,290,401,598,802,363,561
জন্য,310,21,867,907,555,812
নিয়ে,457,802,774,1075,697,458
মনে,648,555,459,665,442,603
দিকে,331,238,202,160,331,234
মানুষ,204,214,307,674,275,330
কেউ,71,360,180,459,455,131
যদি,37,252,272,539,154,160
দেশের,29,48,119,1223,81,152
হলো,2,276,352,246,594,29
বলে,752,431,369,433,475,365
বড়,302,224,190,672,242,134
আরো,0,334,27,58,320,15
সে,618,1512,426,538,735,389
আমাদের,195,594,379,1481,435,646
নয়,173,95,289,552,179,140
পর,392,305,297,381,562,239
তুমি,197,463,387,70,191,87
একটা,690,1144,472,1754,1358,405
হয়,0,12,230,100,8,457
সাথে,7,810,724,326,660,1083
আমাকে,171,597,394,373,307,73
করতে,293,854,570,975,531,409
নিয়ে,0,4,78,102,9,489
হয়ে,0,12,93,78,8,356
আছে,519,575,465,717,712,728
যেন,290,371,417,235,281,268
কি,598,451,591,357,676,281
আর,1083,1828,1327,673,869,1079
তোমার,123,440,404,52,142,74
হয়ে,702,1206,846,798,793,306
ভালো,189,449,88,330,201,49
যখন,118,183,220,669,200,172
নাম,314,117,228,117,127,281
হয়,587,950,760,1102,607,395
নেই,294,662,413,699,585,331
কোন,24,751,917,109,931,745
শুরু,85,283,279,454,319,290
সব,211,301,358,458,279,330
সেটা,20,132,140,761,166,117
দেখা,163,210,287,161,254,601
তবে,501,491,357,119,183,186
সঙ্গে,493,11,126,416,28,36
আমার,1049,2094,1270,1814,1149,532
পারে,146,443,300,525,269,258
তাকে,82,465,235,293,242,145
সময়,244,392,397,356,338,189
আমি,1110,2111,1175,2283,1218,382
নানা,48,23,83,118,26,356
গেছে,232,313,221,274,431,273
তিনি,306,183,535,213,148,259
মত,49,394,190,68,5,526
বছর,278,98,192,251,314,343
এখন,256,558,350,461,302,218
খুব,80,537,376,624,247,230
কী,612,1125,41,714,231,366
দিয়ে,383,656,635,695,702,286
ওপর,508,166,29,153,9,13
ওই,318,26,51,18,284,14
গেল,324,45,93,177,537,324
কোনো,3,111,139,882,8,39
হতে,118,387,395,332,204,178
কে,436,244,114,111,147,109
কথা,460,678,422,951,485,574
একজন,229,247,268,620,161,173
এত,114,251,98,180,316,113
বিশেষ,62,87,116,42,58,357
কিছু,233,721,581,730,458,436
কিন্তু,253,584,780,999,944,834
হচ্ছে,77,207,247,651,114,264
ছিল,893,38,201,482,546,862
তারা,186,545,260,1006,102,297
থেকে,885,1045,1043,1112,1012,1115
বেশ,253,436,161,79,76,330
কাছে,304,461,394,423,266,303
আমরা,241,445,294,1132,336,400
জন্যে,8,690,16,489,1,4
বললেন,496,15,49,98,59,99
করার,141,390,320,731,267,202
এর,1004,271,446,294,118,370
দেশে,19,25,78,555,94,112
তাদের,127,500,404,1382,215,555
একটি,694,241,786,701,118,347
