Obboy,Frequency
না,1690
আর,1083
যে,802
ও,733
এবং,638
তো,457
দিয়ে,383
যেন,290
কিন্তু,253
বা,219
আবার,158
কিংবা,123
এত,114
তাই,113
খুব,80
হয়তো,77
হঠাৎ,67
অর্থাৎ,65
অথচ,50
যদিও,41
বরং,41
যদি,37
অতি,31
নইলে,23
সুতরাং,22
নিশ্চয়ই,18
অন্তত,11
অথবা,9
সহসা,6
নয়তো,6
আপাতত,5
হয়ত,4
হইত,4
হাঁ,2
মারহাবা,2
বহুত,2
অতএব,2
সদা,1
নতুবা,1
তথাপি,1
ওগো,1
উঃ,1
হায়রে,0
সাবাশ,0
শন শন,0
রুম ঝুম,0
যদ্যপি,0
যথা,0
মাইরি,0
মরিমরি,0
মর মর,0
বেশবেশ,0
বেশ তো,0
বস্ত্তত,0
পুনশ্চ,0
পাছে,0
না হয়,0
ধিকধিক,0
ধর্মত,0
দৈবাৎ,0
দুর্ভাগ্যবশত,0
টল মল,0
টন টন,0
ঝল মল,0
ঝম ঝম,0
জ্ঞানত,0
ছিছি,0
ছম ছম,0
চিঁহি চিঁহি,0
চক চক,0
গুড় গুড়,0
গর গর,0
খাসা,0
খাঁ খাঁ,0
খট খট,0
কড় কড়,0
কুহু কুহু,0
কি আপদ,0
কা কা,0
কল কল,0
কদাপি,0
কত না,0
কট কট,0
কচ কচ,0
আলবত,0
অন্যএ,0
অন্ততও,0
অধিকন্তু,0
অথচও,0
