 ,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
না,1690,3720,1414,2954,2951,1663
আর,1083,1828,1327,673,869,1079
যে,802,701,818,1130,504,961
ও,733,95,887,207,167,453
এবং,638,1045,859,933,260,1359
তো,457,856,42,158,427,280
তারপর,370,136,164,86,175,89
তবে,501,491,357,119,183,186
দিয়ে,383,656,635,695,702,286
যেন,290,371,417,235,281,268
কিন্তু,253,584,780,999,944,834
বা,219,363,366,279,130,411
আবার,158,312,211,160,169,388
কিংবা,123,29,177,304,90,34
এত,114,251,98,180,316,113
তাই,113,358,283,471,254,249
খুব,80,537,376,624,247,230
হয়তো,77,137,26,110,84,9
হঠাৎ,67,144,72,150,125,39
অর্থাৎ,65,12,69,33,2,16
অথচ,50,39,87,45,52,60
যদিও,41,59,69,24,51,225
বরং,41,33,68,25,34,90
যদি,37,252,272,539,154,160
অতি,31,56,20,12,26,109
নইলে,23,16,6,1,38,0
সুতরাং,22,24,11,0,38,5
নিশ্চয়ই,18,69,6,143,63,12
অন্তত,11,34,29,40,10,71
অথবা,9,231,108,4,37,32
সহসা,6,1,5,0,0,1
নয়তো,6,6,3,0,10,1
আপাতত,5,27,10,6,0,25
হয়ত,4,1,122,0,1,100
হইত,4,1,1,0,0,1
হাঁ,2,1,0,1,0,3
মারহাবা,2,0,0,0,0,0
বহুত,2,0,0,0,3,0
অতএব,2,1,44,2,8,1
সদা,1,3,5,0,1,6
নতুবা,1,0,36,0,1,3
তথাপি,1,0,9,0,0,0
ওগো,1,1,3,0,2,2
উঃ,1,1,0,0,0,0
হায়রে,0,0,8,1,0,1
সাবাশ,0,0,0,0,0,1
শন শন,0,0,0,0,0,0
রুম ঝুম,0,0,0,0,0,0
যদ্যপি,0,0,0,0,0,1
যথা,0,0,2,0,0,0
মাইরি,0,1,0,0,0,0
মরিমরি,0,0,0,0,0,0
মর মর,0,0,0,0,0,0
বেশবেশ,0,0,0,0,0,0
বেশ তো,0,0,0,0,0,0
বস্ত্তত,0,0,0,0,0,0
পুনশ্চ,0,0,0,0,0,1
পাছে,0,0,7,0,0,0
না হয়,0,0,0,0,0,0
ধিকধিক,0,0,0,0,0,0
ধর্মত,0,0,0,0,0,0
দৈবাৎ,0,0,0,0,0,0
দুর্ভাগ্যবশত,0,0,0,0,0,0
টল মল,0,0,0,0,0,0
টন টন,0,0,0,0,0,0
ঝল মল,0,0,0,0,0,0
ঝম ঝম,0,0,0,0,0,0
জ্ঞানত,0,0,0,0,0,0
ছিছি,0,0,0,0,0,0
ছম ছম,0,0,0,0,0,0
চিঁহি চিঁহি,0,0,0,0,0,0
চক চক,0,0,0,0,0,0
গুড় গুড়,0,0,0,0,0,0
গর গর,0,0,0,0,0,0
খাসা,0,1,0,0,1,2
খাঁ খাঁ,0,0,0,0,0,0
খট খট,0,0,0,0,0,0
কড় কড়,0,0,0,0,0,0
কুহু কুহু,0,0,0,0,0,0
কি আপদ,0,0,0,0,0,0
কা কা,0,0,0,0,0,0
কল কল,0,0,0,0,0,0
কদাপি,0,0,0,0,0,0
কত না,0,0,0,0,0,0
কট কট,0,0,0,0,0,0
কচ কচ,0,0,0,0,0,0
আলবত,0,0,0,0,1,0
অন্যএ,0,0,0,0,0,0
অন্ততও,0,0,0,0,0,0
অধিকন্তু,0,0,1,0,0,0
অথচও,0,0,0,0,0,0
