Obboy,Frequency
না,3720
আর,1828
এবং,1045
তো,856
যে,701
দিয়ে,656
কিন্তু,584
খুব,537
যেন,371
বা,363
তাই,358
আবার,312
যদি,252
এত,251
অথবা,231
হঠাৎ,144
হয়তো,137
ও,95
নিশ্চয়ই,69
যদিও,59
অতি,56
অথচ,39
অন্তত,34
বরং,33
কিংবা,29
আপাতত,27
সুতরাং,24
নইলে,16
অর্থাৎ,12
নয়তো,6
সদা,3
হয়ত,1
হাঁ,1
হইত,1
সহসা,1
মাইরি,1
খাসা,1
ওগো,1
উঃ,1
অতএব,1
হায়রে,0
সাবাশ,0
শন শন,0
রুম ঝুম,0
যদ্যপি,0
যথা,0
মারহাবা,0
মরিমরি,0
মর মর,0
বেশবেশ,0
বেশ তো,0
বহুত,0
বস্ত্তত,0
পুনশ্চ,0
পাছে,0
না হয়,0
নতুবা,0
ধিকধিক,0
ধর্মত,0
দৈবাৎ,0
দুর্ভাগ্যবশত,0
তথাপি,0
টল মল,0
টন টন,0
ঝল মল,0
ঝম ঝম,0
জ্ঞানত,0
ছিছি,0
ছম ছম,0
চিঁহি চিঁহি,0
চক চক,0
গুড় গুড়,0
গর গর,0
খাঁ খাঁ,0
খট খট,0
কড় কড়,0
কুহু কুহু,0
কি আপদ,0
কা কা,0
কল কল,0
কদাপি,0
কত না,0
কট কট,0
কচ কচ,0
আলবত,0
অন্যএ,0
অন্ততও,0
অধিকন্তু,0
অথচও,0
