Obboy,Frequency
না,1414
আর,1327
ও,887
এবং,859
যে,818
কিন্তু,780
দিয়ে,635
যেন,417
খুব,376
বা,366
তবে,357
তাই,283
যদি,272
আবার,211
কিংবা,177
তারপর,164
হয়ত,122
অথবা,108
এত,98
অথচ,87
হঠাৎ,72
যদিও,69
অর্থাৎ,69
বরং,68
অতএব,44
তো,42
নতুবা,36
অন্তত,29
হয়তো,26
অতি,20
সুতরাং,11
আপাতত,10
তথাপি,9
হায়রে,8
পাছে,7
নিশ্চয়ই,6
নইলে,6
সহসা,5
সদা,5
নয়তো,3
ওগো,3
যথা,2
হইত,1
অধিকন্তু,1
﻿আর,0
হাঁ,0
সাবাশ,0
শন শন,0
রুম ঝুম,0
যদ্যপি,0
মারহাবা,0
মাইরি,0
মরিমরি,0
মর মর,0
বেশবেশ,0
বেশ তো,0
বহুত,0
বস্ত্তত,0
পুনশ্চ,0
না হয়,0
ধিকধিক,0
ধর্মত,0
দৈবাৎ,0
দুর্ভাগ্যবশত,0
টল মল,0
টন টন,0
ঝল মল,0
ঝম ঝম,0
জ্ঞানত,0
ছিছি,0
ছম ছম,0
চিঁহি চিঁহি,0
চক চক,0
গুড় গুড়,0
গর গর,0
খাসা,0
খাঁ খাঁ,0
খট খট,0
কড় কড়,0
কুহু কুহু,0
কি আপদ,0
কা কা,0
কল কল,0
কদাপি,0
কত না,0
কট কট,0
কচ কচ,0
উঃ,0
আলবত,0
অন্যএ,0
অন্ততও,0
অথচও,0
