Obboy,Frequency
না,2951
কিন্তু,944
আর,869
দিয়ে,702
যে,504
তো,427
এত,316
যেন,281
এবং,260
তাই,254
খুব,247
আবার,169
ও,167
যদি,154
বা,130
হঠাৎ,125
কিংবা,90
হয়তো,84
নিশ্চয়ই,63
অথচ,52
যদিও,51
সুতরাং,38
নইলে,38
অথবা,37
বরং,34
অতি,26
নয়তো,10
অন্তত,10
অতএব,8
বহুত,3
ওগো,2
অর্থাৎ,2
হয়ত,1
সদা,1
নতুবা,1
খাসা,1
আলবত,1
হায়রে,0
হাঁ,0
হইত,0
সাবাশ,0
সহসা,0
শন শন,0
রুম ঝুম,0
যদ্যপি,0
যথা,0
মারহাবা,0
মাইরি,0
মরিমরি,0
মর মর,0
বেশবেশ,0
বেশ তো,0
বস্ত্তত,0
পুনশ্চ,0
পাছে,0
না হয়,0
ধিকধিক,0
ধর্মত,0
দৈবাৎ,0
দুর্ভাগ্যবশত,0
তথাপি,0
টল মল,0
টন টন,0
ঝল মল,0
ঝম ঝম,0
জ্ঞানত,0
ছিছি,0
ছম ছম,0
চিঁহি চিঁহি,0
চক চক,0
গুড় গুড়,0
গর গর,0
খাঁ খাঁ,0
খট খট,0
কড় কড়,0
কুহু কুহু,0
কি আপদ,0
কা কা,0
কল কল,0
কদাপি,0
কত না,0
কট কট,0
কচ কচ,0
উঃ,0
আপাতত,0
অন্যএ,0
অন্ততও,0
অধিকন্তু,0
অথচও,0
