Sentance Len,Freqency
1,402
2,299
3,535
4,890
5,1133
6,1311
7,1393
8,1339
9,1203
10,1086
11,951
12,822
13,704
14,644
15,542
16,426
17,393
18,293
19,292
20,240
21,233
22,202
23,170
24,139
25,116
26,90
27,77
28,57
29,58
30,51
31,54
32,45
33,40
34,27
35,24
36,21
37,26
38,17
39,15
40,22
41,10
42,15
43,10
44,14
45,10
46,7
47,11
48,7
49,6
50,4
51,4
52,5
53,6
54,4
55,1
56,7
57,3
58,2
60,4
61,2
63,2
64,2
65,1
66,1
67,2
68,2
69,2
71,3
72,1
73,1
75,4
76,1
77,1
78,4
79,3
80,1
81,1
84,1
87,1
88,1
89,1
92,1
94,2
95,1
96,1
98,1
105,1
112,1
118,2
124,1
127,1
131,1
133,1
142,1
144,1
149,1
152,1
167,1
170,1
176,1
181,2
199,1
200,1
237,1
246,1
288,1
346,1
359,1
