Sorbonam,Frequency
কি,23
আমি,23
এর,20
সে,10
তো,8
কিছু,8
এই,8
তুমি,7
আমাকে,7
কে,6
এ,6
যে,5
পর,4
আমাদের,4
আমরা,4
তা,3
কী,3
ওদের,3
ওকে,3
ও,3
আপনার,3
যা,2
তাঁর,2
কেউ,2
ওরা,2
একে,2
আপনি,2
তোমাকে,1
তিনি,1
তারা,1
এঁর,1
আপনাদের,1
অন্য,1
স্বয়ং,0
সমুদয়,0
সব,0
সকল,0
যেমন তেমন,0
যেই সেই,0
যিনি,0
যাহারা,0
যাহা,0
যারাই ,0
যারা,0
যাঁহা,0
যাঁরা,0
যত ততই,0
যত তত,0
যত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
পরস্পর,0
নিজেনিজে,0
নিজে,0
নিজ,0
তোরা,0
তোর,0
তোমারি,0
তোমারই,0
তোমাদের,0
তোমাদিগকে ,0
তোমাদিগকে,0
তোমা,0
তোমরা,0
তোদের,0
তোকে,0
তুই,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তারাই,0
তাবৎ,0
তাদেরকে,0
তাদের,0
তাঁরা,0
তাঁদেরকে,0
তাঁদের,0
তাঁকে,0
তদীয়,0
তদিও,0
খোদ,0
কোন,0
কেহ,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসের,0
কিসে,0
কাহার,0
কাহা,0
কার,0
কা,0
ওঁদের,0
ওঁকে,0
ঐসব,0
ঐ,0
এরা,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
ইনি,0
আমাদিগকে,0
আপসে,0
আপনারা,0
আপনা,0
অপর,0
