Sorbonam,Frequency
এই,1240
আমি,1110
এর,1004
যে,802
ও,733
সে,618
কী,612
কি,598
তো,457
এ,449
কে,436
পর,392
তিনি,306
তাঁর,279
আমরা,241
কিছু,233
সব,211
তা,198
তুমি,197
আমাদের,195
ওরা,189
তারা,186
যা,185
আমাকে,171
ওদের,130
তাদের,127
আপনি,126
ওকে,125
এরা,85
কেউ,71
আপনার,59
অন্য,57
ইনি,52
তুই,49
তোর,46
যিনি,40
তাঁকে,39
কার,39
একে,37
যারা,32
তোমরা,27
তোমাকে,24
কোন,24
তোমাদের,22
ঐ,17
তারাই,16
সকল,11
যত,11
তোরা,11
কিসের,10
আপনারা,10
আপনাদের,9
স্বয়ং,7
নিজে,6
তোকে,6
কেহ,6
এঁর,6
তোদের,5
তাঁরা,5
মোর,4
তাহারা,4
কাহার,4
ইহা,4
অপর,4
যাহা,2
যাঁরা,2
নিজ,2
তাহাকে,2
খোদ,2
কা,2
পরস্পর,1
তোমারই,1
তাহাদের,1
তাবৎ,1
তাঁদের,1
ইহারা,1
আপনা,1
সমুদয়,0
যেমন তেমন,0
যেই সেই,0
যাহারা,0
যারাই ,0
যাঁহা,0
যত ততই,0
যত তত,0
মোরা,0
মোদের,0
মদীয়,0
ভবদীয়,0
নিজেনিজে,0
তোমারি,0
তোমাদিগকে ,0
তোমাদিগকে,0
তোমা,0
তাহাদিগদের,0
তাহাঁদের,0
তাদেরকে,0
তাঁদেরকে,0
তদীয়,0
তদিও,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসে,0
কাহা,0
ওঁদের,0
ওঁকে,0
ঐসব,0
ইহাদের,0
ইহাকে,0
আমাদিগকে,0
আপসে,0
