 ,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
এই,1240,1269,1519,2277,1168,1368
আমি,1110,2111,1175,2283,1218,382
এর,1004,271,446,294,118,370
যে,802,701,818,1130,504,961
ও,733,95,887,207,167,453
সে,618,1512,426,538,735,389
কী,612,1125,41,714,231,366
কি,598,451,591,357,676,281
তো,457,856,42,158,427,280
এ,449,239,221,503,108,164
কে,436,244,114,111,147,109
পর,392,305,297,381,562,239
তিনি,306,183,535,213,148,259
তাঁর,279,4,174,183,66,265
আমরা,241,445,294,1132,336,400
কিছু,233,721,581,730,458,436
সব,211,301,358,458,279,330
তা,198,424,174,136,118,326
তুমি,197,463,387,70,191,87
আমাদের,195,594,379,1481,435,646
ওরা,189,145,36,1,145,22
তারা,186,545,260,1006,102,297
যা,185,231,261,55,162,234
আমাকে,171,597,394,373,307,73
ওদের,130,59,81,3,100,13
তাদের,127,500,404,1382,215,555
আপনি,126,122,130,50,112,92
ওকে,125,46,38,3,63,4
এরা,85,11,41,21,33,41
কেউ,71,360,180,459,455,131
আপনার,59,142,162,53,120,126
অন্য,57,126,105,255,108,234
ইনি,52,1,8,1,7,2
তুই,49,115,52,30,67,9
তোর,46,132,66,18,91,13
যিনি,40,7,64,28,20,29
তাঁকে,39,1,26,50,15,30
কার,39,59,16,26,45,18
একে,37,80,49,22,11,38
যারা,32,59,115,372,98,111
তোমরা,27,83,30,59,6,19
তোমাকে,24,172,138,5,76,18
কোন,24,751,917,109,931,745
তোমাদের,22,83,29,71,22,26
ঐ,17,75,47,4,17,50
তারাই,16,10,10,23,6,11
সকল,11,29,110,48,67,86
যত,11,33,48,99,36,28
তোরা,11,27,5,3,5,1
কিসের,10,21,9,4,21,9
আপনারা,10,52,23,17,29,14
আপনাদের,9,36,39,17,17,35
স্বয়ং,7,3,28,1,4,12
নিজে,6,20,30,41,45,40
তোকে,6,41,9,4,12,1
কেহ,6,1,6,0,1,1
এঁর,6,0,0,0,0,0
তোদের,5,26,4,5,12,2
তাঁরা,5,0,14,105,6,10
মোর,4,1,19,0,1,1
তাহারা,4,0,6,0,3,3
কাহার,4,0,4,0,0,1
ইহা,4,2,3,0,8,5
অপর,4,3,11,1,4,21
যাহা,2,1,5,0,1,2
যাঁরা,2,0,1,53,1,1
নিজ,2,13,65,16,22,28
তাহাকে,2,0,19,0,2,6
খোদ,2,0,2,0,7,6
কা,2,0,0,1,3,4
পরস্পর,1,4,1,2,2,2
তোমারই,1,3,8,0,2,0
তাহাদের,1,0,7,0,1,11
তাবৎ,1,1,0,0,5,3
তাঁদের,1,0,28,112,9,4
ইহারা,1,0,0,0,0,1
আপনা,1,2,0,0,4,11
সমুদয়,0,0,1,2,0,0
যেমন তেমন,0,0,0,0,0,0
যেই সেই,0,0,0,0,0,0
যাহারা,0,1,0,0,1,0
যারাই,1,1,5,6,0,0
যাঁহা,0,0,0,0,0,0
যত ততই,0,0,0,0,0,0
যত তত,0,0,0,0,0,0
মোরা,0,1,2,0,0,0
মোদের,0,0,3,0,0,0
মদীয়,0,0,0,0,0,0
ভবদীয়,0,0,0,0,0,0
নিজেনিজে,0,0,0,0,0,0
তোমারি,0,0,1,0,0,0
তোমাদিগকে,0,0,0,0,0,0
তোমাদিগকে,0,0,0,0,0,0
তোমা,0,0,1,0,0,0
তাহাদিগদের,0,0,0,0,0,0
তাহাঁদের,0,0,0,0,0,0
তাদেরকে,0,65,34,148,12,2
তাঁদেরকে,0,0,2,0,0,0
তদীয়,0,0,0,0,0,0
তদিও,0,0,0,0,0,0
কীসেরদ্বারা,0,0,0,0,0,0
কীসেরথেকে,0,0,0,0,0,0
কীসে থেকে,0,0,0,0,0,0
কিসে,0,0,1,1,3,1
কাহা,0,0,0,0,0,0
ওঁদের,0,0,0,0,0,0
ওঁকে,0,0,0,0,0,0
ঐসব,0,6,0,0,0,0
ইহাদের,0,0,1,0,0,2
ইহাকে,0,0,0,0,1,1
আমাদিগকে,0,0,0,0,0,2
আপসে,0,0,0,0,0,0
