Sorbonam,Frequency
এই,19
তো,15
তারা,14
কী,12
তাদের,11
কিছু,10
সে,9
কোন,7
যে,6
কেউ,5
আমাদের,5
সব,4
তা,4
আমি,4
আমরা,4
কি,3
এর,3
যা,2
কে,2
এ,2
আপনি,2
আপনারা,2
সকল,1
যত,1
পর,1
নিজ,1
তুমি,1
তিনি,1
ঐ,1
এরা,1
একে,1
আপনার,1
আপনাদের,1
অন্য,1
স্বয়ং,0
সমুদয়,0
যেমন তেমন,0
যেই সেই,0
যিনি,0
যাহারা,0
যাহা,0
যারাই,0
যারা,0
যাঁহা,0
যাঁরা,0
যত ততই,0
যত তত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
পরস্পর,0
নিজেনিজে,0
নিজে,0
তোরা,0
তোর,0
তোমারি,0
তোমারই,0
তোমাদের,0
তোমাদিগকে,0
তোমাকে,0
তোমা,0
তোমরা,0
তোদের,0
তোকে,0
তুই,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তারাই,0
তাবৎ,0
তাদেরকে,0
তাঁরা,0
তাঁর,0
তাঁদেরকে,0
তাঁদের,0
তাঁকে,0
তদীয়,0
তদিও,0
খোদ,0
কেহ,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসের,0
কিসে,0
কাহার,0
কাহা,0
কার,0
কা,0
ওরা,0
ওদের,0
ওকে,0
ওঁদের,0
ওঁকে,0
ও,0
ঐসব,0
এঁর,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
ইনি,0
আমাদিগকে,0
আমাকে,0
আপসে,0
আপনা,0
অপর,0
