Sorbonam,Frequency
আমি,2111
সে,1512
এই,1269
কী,1125
তো,856
কোন,751
কিছু,721
যে,701
আমাকে,597
আমাদের,594
তারা,545
তাদের,500
তুমি,463
কি,451
আমরা,445
তা,424
কেউ,360
পর,305
সব,301
এর,271
কে,244
এ,239
যা,231
তিনি,183
তোমাকে,172
ওরা,145
আপনার,142
তোর,132
অন্য,126
আপনি,122
তুই,115
ও,95
তোমাদের,83
তোমরা,83
একে,80
ঐ,75
তাদেরকে,65
যারা,59
কার,59
ওদের,59
আপনারা,52
ওকে,46
তোকে,41
আপনাদের,36
যত,33
সকল,29
তোরা,27
তোদের,26
কিসের,21
নিজে,20
নিজ,13
এরা,11
তারাই,10
যিনি,7
ঐসব,6
পরস্পর,4
তাঁর,4
স্বয়ং,3
তোমারই,3
অপর,3
ইহা,2
আপনা,2
যাহারা,1
যাহা,1
যারাই,1
মোরা,1
মোর,1
তাবৎ,1
তাঁকে,1
কেহ,1
ইনি,1
সমুদয়,0
যেমন তেমন,0
যেই সেই,0
যাঁহা,0
যাঁরা,0
যত ততই,0
যত তত,0
মোদের,0
মদীয়,0
ভবদীয়,0
নিজেনিজে,0
তোমারি,0
তোমাদিগকে,0
তোমা,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তাঁরা,0
তাঁদেরকে,0
তাঁদের,0
তদীয়,0
তদিও,0
খোদ,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসে,0
কাহার,0
কাহা,0
কা,0
ওঁদের,0
ওঁকে,0
এঁর,0
ইহারা,0
ইহাদের,0
ইহাকে,0
আমাদিগকে,0
আপসে,0
