Sorbonam,Frequency
এই,1519
আমি,1175
কোন,917
ও,887
যে,818
কি,591
কিছু,581
তিনি,535
এর,446
সে,426
তাদের,404
আমাকে,394
তুমি,387
আমাদের,379
সব,358
পর,297
আমরা,294
যা,261
তারা,260
এ,221
কেউ,180
তাঁর,174
তা,174
আপনার,162
তোমাকে,138
আপনি,130
যারা,115
কে,114
সকল,110
অন্য,105
ওদের,81
তোর,66
নিজ,65
যিনি,64
তুই,52
একে,49
যত,48
ঐ,47
তো,42
কী,41
এরা,41
আপনাদের,39
ওকে,38
ওরা,36
তাদেরকে,34
নিজে,30
তোমরা,30
তোমাদের,29
স্বয়ং,28
তাঁদের,28
তাঁকে,26
আপনারা,23
মোর,19
তাহাকে,19
কার,16
তাঁরা,14
অপর,11
তারাই,10
তোকে,9
কিসের,9
তোমারই,8
ইনি,8
তাহাদের,7
তাহারা,6
কেহ,6
যাহা,5
যারাই,5
তোরা,5
তোদের,4
কাহার,4
মোদের,3
ইহা,3
মোরা,2
তাঁদেরকে,2
খোদ,2
সমুদয়,1
যাঁরা,1
পরস্পর,1
তোমারি,1
তোমা,1
কিসে,1
ইহাদের,1
যেমন তেমন,0
যেই সেই,0
যাহারা,0
যাঁহা,0
যত ততই,0
যত তত,0
মদীয়,0
ভবদীয়,0
নিজেনিজে,0
তোমাদিগকে,0
তাহাদিগদের,0
তাহাঁদের,0
তাবৎ,0
তদীয়,0
তদিও,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কাহা,0
কা,0
ওঁদের,0
ওঁকে,0
ঐসব,0
এঁর,0
ইহারা,0
ইহাকে,0
আমাদিগকে,0
আপসে,0
আপনা,0
