Sorbonam,Frequency
কী,29
সে,28
এই,25
আমি,24
কিছু,15
তো,13
তুই,11
সব,10
আপনি,9
তোর,8
পর,7
তুমি,7
আমাকে,7
যে,6
তাদের,6
যা,5
তারা,5
কে,5
নিজে,4
তিনি,4
আপনার,4
কেউ,3
কি,3
অন্য,3
যিনি,2
যত,2
তোমরা,2
কোন,2
কার,2
এর,2
তোদের,1
তোকে,1
তাঁর,1
তা,1
আমাদের,1
আমরা,1
আপনারা,1
আপনাদের,1
স্বয়ং,0
সমুদয়,0
সকল,0
যেমন তেমন,0
যেই সেই,0
যাহারা,0
যাহা,0
যারাই ,0
যারা,0
যাঁহা,0
যাঁরা,0
যত ততই,0
যত তত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
পরস্পর,0
নিজেনিজে,0
নিজ,0
তোরা,0
তোমারি,0
তোমারই,0
তোমাদের,0
তোমাদিগকে ,0
তোমাদিগকে,0
তোমাকে,0
তোমা,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তারাই,0
তাবৎ,0
তাদেরকে,0
তাঁরা,0
তাঁদেরকে,0
তাঁদের,0
তাঁকে,0
তদীয়,0
তদিও,0
খোদ,0
কেহ,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসের,0
কিসে,0
কাহার,0
কাহা,0
কা,0
ওরা,0
ওদের,0
ওকে,0
ওঁদের,0
ওঁকে,0
ও,0
ঐসব,0
ঐ,0
এরা,0
একে,0
এঁর,0
এ,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
ইনি,0
আমাদিগকে,0
আপসে,0
আপনা,0
অপর,0
