Sorbonam,Frequency
আমি,2283
এই,2277
আমাদের,1481
তাদের,1382
আমরা,1132
যে,1130
তারা,1006
কিছু,730
কী,714
সে,538
এ,503
কেউ,459
সব,458
পর,381
আমাকে,373
যারা,372
কি,357
এর,294
অন্য,255
তিনি,213
ও,207
তাঁর,183
তো,158
তাদেরকে,148
তা,136
তাঁদের,112
কে,111
কোন,109
তাঁরা,105
যত,99
তোমাদের,71
তুমি,70
তোমরা,59
যা,55
যাঁরা,53
আপনার,53
তাঁকে,50
আপনি,50
সকল,48
নিজে,41
তুই,30
যিনি,28
কার,26
তারাই,23
একে,22
এরা,21
তোর,18
আপনারা,17
আপনাদের,17
নিজ,16
যারাই,6
তোমাকে,5
তোদের,5
তোকে,4
কিসের,4
ঐ,4
তোরা,3
ওদের,3
ওকে,3
সমুদয়,2
পরস্পর,2
স্বয়ং,1
কিসে,1
কা,1
ওরা,1
ইনি,1
অপর,1
যেমন তেমন,0
যেই সেই,0
যাহারা,0
যাহা,0
যাঁহা,0
যত ততই,0
যত তত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
নিজেনিজে,0
তোমারি,0
তোমারই,0
তোমাদিগকে,0
তোমা,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তাবৎ,0
তাঁদেরকে,0
তদীয়,0
তদিও,0
খোদ,0
কেহ,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কাহার,0
কাহা,0
ওঁদের,0
ওঁকে,0
ঐসব,0
এঁর,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
আমাদিগকে,0
আপসে,0
আপনা,0
