Sorbonam,Frequency
আমি,1218
এই,1168
কোন,931
সে,735
কি,676
পর,562
যে,504
কিছু,458
কেউ,455
আমাদের,435
তো,427
আমরা,336
আমাকে,307
সব,279
কী,231
তাদের,215
তুমি,191
ও,167
যা,162
তিনি,148
কে,147
ওরা,145
আপনার,120
তা,118
এর,118
আপনি,112
এ,108
অন্য,108
তারা,102
ওদের,100
যারা,98
তোর,91
তোমাকে,76
সকল,67
তুই,67
তাঁর,66
ওকে,63
নিজে,45
কার,45
যত,36
এরা,33
আপনারা,29
নিজ,22
তোমাদের,22
কিসের,21
যিনি,20
ঐ,17
আপনাদের,17
তাঁকে,15
তোদের,12
তোকে,12
তাদেরকে,12
একে,11
তাঁদের,9
ইহা,8
খোদ,7
ইনি,7
তোমরা,6
তারাই,6
তাঁরা,6
তোরা,5
তাবৎ,5
স্বয়ং,4
আপনা,4
অপর,4
তাহারা,3
কিসে,3
কা,3
পরস্পর,2
তোমারই,2
তাহাকে,2
যাহারা,1
যাহা,1
যাঁরা,1
মোর,1
তাহাদের,1
কেহ,1
ইহাকে,1
সমুদয়,0
যেমন তেমন,0
যেই সেই,0
যারাই,0
যাঁহা,0
যত ততই,0
যত তত,0
মোরা,0
মোদের,0
মদীয়,0
ভবদীয়,0
নিজেনিজে,0
তোমারি,0
তোমাদিগকে,0
তোমা,0
তাহাদিগদের,0
তাহাঁদের,0
তাঁদেরকে,0
তদীয়,0
তদিও,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কাহার,0
কাহা,0
ওঁদের,0
ওঁকে,0
ঐসব,0
এঁর,0
ইহারা,0
ইহাদের,0
আমাদিগকে,0
আপসে,0
