Sorbonam,Frequency
এই,1368
যে,961
কোন,745
আমাদের,646
তাদের,555
ও,453
কিছু,436
আমরা,400
সে,389
আমি,382
এর,370
কী,366
সব,330
তা,326
তারা,297
কি,281
তো,280
তাঁর,265
তিনি,259
পর,239
যা,234
অন্য,234
এ,164
কেউ,131
আপনার,126
যারা,111
কে,109
আপনি,92
তুমি,87
সকল,86
আমাকে,73
ঐ,50
এরা,41
নিজে,40
একে,38
আপনাদের,35
তাঁকে,30
যিনি,29
যত,28
নিজ,28
তোমাদের,26
ওরা,22
অপর,21
তোমরা,19
তোমাকে,18
কার,18
আপনারা,14
তোর,13
ওদের,13
স্বয়ং,12
তাহাদের,11
তারাই,11
আপনা,11
তাঁরা,10
তুই,9
কিসের,9
তাহাকে,6
খোদ,6
ইহা,5
তাঁদের,4
কা,4
ওকে,4
তাহারা,3
তাবৎ,3
যাহা,2
পরস্পর,2
তোদের,2
তাদেরকে,2
ইহাদের,2
ইনি,2
আমাদিগকে,2
যাঁরা,1
মোর,1
তোরা,1
তোকে,1
কেহ,1
কিসে,1
কাহার,1
ইহারা,1
ইহাকে,1
সমুদয়,0
যেমন তেমন,0
যেই সেই,0
যাহারা,0
যারাই,0
যাঁহা,0
যত ততই,0
যত তত,0
মোরা,0
মোদের,0
মদীয়,0
ভবদীয়,0
নিজেনিজে,0
তোমারি,0
তোমারই,0
তোমাদিগকে,0
তোমা,0
তাহাদিগদের,0
তাহাঁদের,0
তাঁদেরকে,0
তদীয়,0
তদিও,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কাহা,0
ওঁদের,0
ওঁকে,0
ঐসব,0
এঁর,0
আপসে,0
