Emon Jubayer,value,Hasan Mahbub,value,Kandari Athorbo,value,MZI,value,Nir Shondhani,value,Tareque Anu,value
না,1690,না,3720,করে,2100,না,2954,না,2951,করে,1780
করে,1678,করে,2520,এই,1519,করে,2923,করে,1861,না,1663
এই,1240,আমি,2111,না,1414,আমি,2283,একটা,1358,এই,1368
আমি,1110,আমার,2094,আর,1327,এই,2277,আমি,1218,এবং,1359
আর,1083,তার,1920,আমার,1270,আমার,1814,এই,1168,সেই,1240
আমার,1049,আর,1828,তার,1253,একটা,1754,আমার,1149,এক,1133
এর,1004,সে,1512,আমি,1175,আমাদের,1481,থেকে,1012,থেকে,1115
ছিল,893,এই,1269,থেকে,1043,তাদের,1382,কিন্তু,944,তার,1091
থেকে,885,হয়ে,1206,কোন,917,তার,1320,কোন,931,সাথে,1083
যে,802,একটা,1144,জন্য,867,সেই,1275,তার,916,আর,1079
বলে,752,কী,1125,এবং,859,দেশের,1223,আর,869,যে,961
এক,717,থেকে,1045,হয়ে,846,আমরা,1132,হয়ে,793,ছিল,862
বলল,711,এবং,1045,যে,818,যে,1130,সে,735,কিন্তু,834
হয়ে,702,হয়,950,একটি,786,থেকে,1112,সেই,733,জন্য,812
একটি,694,তো,856,কিন্তু,780,হয়,1102,আছে,712,কোন,745
হল,691,করতে,854,নিয়ে,774,নিয়ে,1075,দিয়ে,702,আছে,728
একটা,690,সাথে,810,হয়,760,তারা,1006,নিয়ে,697,আমাদের,646
মনে,648,নিয়ে,802,সাথে,724,কিন্তু,999,কি,676,মনে,603
এবং,638,কোন,751,এক,643,করতে,975,সাথে,660,দেখা,601
সে,618,যায়,738,সেই,643,কথা,951,হয়,607,কথা,574
কী,612,হবে,729,দিয়ে,635,এবং,933,হলো,594,করা,561
কি,598,কিছু,721,হবে,615,হবে,911,নেই,585,তাদের,555
হয়,587,যে,701,ব্লগার,606,জন্য,907,এক,564,আমার,532
তার,578,জন্যে,690,করা,598,কোনো,882,পর,562,অনেক,530
আছে,519,কথা,678,কি,591,করা,802,যায়,560,মত,526
ওপর,508,নেই,662,কিছু,581,তখন,799,জন্য,555,মাঝে,526
তবে,501,দিয়ে,656,করতে,570,হয়ে,798,ছিল,546,নিয়ে,489
বললেন,496,আমাকে,597,তিনি,535,সেটা,761,গেল,537,নিয়ে,458
সঙ্গে,493,আমাদের,594,একটা,472,করার,731,হবে,535,হয়,457
যায়,477,এক,591,আছে,465,কিছু,730,করতে,531,হল,454
কথা,460,কিন্তু,584,মনে,459,আছে,717,যে,504,কিছু,436
নিয়ে,457,আছে,575,এর,446,কী,714,কথা,485,বা,411
তো,457,এখন,558,সে,426,একটি,701,বলে,475,করতে,409
কে,436,মনে,555,যায়,424,নেই,699,কিছু,458,একটা,405
পর,392,তারা,545,কথা,422,দিয়ে,695,কেউ,455,আমরা,400
দিয়ে,383,থাকে,539,যেন,417,মানুষ,674,মনে,442,হয়,395
তারপর,370,খুব,537,নেই,413,আর,673,আমাদের,435,হবে,393
সেই,367,ছিলো,533,তাদের,404,বড়,672,গেছে,431,সে,389
দিকে,331,তাদের,500,তোমার,404,যখন,669,তো,427,আবার,388
গেল,324,তবে,491,সময়,397,মনে,665,মতো,368,আমি,382
ওই,318,তাকে,465,হতে,395,হয়েছে,663,করা,363,এর,370
নাম,314,তুমি,463,কাছে,394,হচ্ছে,651,সময়,338,কী,366
জন্য,310,কাছে,461,আমাকে,394,খুব,624,আমরা,336,বলে,365
তিনি,306,কি,451,তুমি,387,একজন,620,গিয়ে,333,বিশেষ,357
কাছে,304,ভালো,449,হয়েছে,382,অনেক,615,দিকে,331,হয়ে,356
বড়,302,আমরা,445,আমাদের,379,দেশে,555,আরো,320,নানা,356
নেই,294,পারে,443,খুব,376,নয়,552,শুরু,319,একটি,347
করতে,293,সেই,442,বলে,369,যদি,539,এত,316,বছর,343
যেন,290,তোমার,440,বা,366,সে,538,আগে,316,নেই,331
করা,290,বেশ,436,সব,358,পারে,525,থাকে,315,এমন,331
ওর,289,বলে,431,তবে,357,এক,511,বছর,314,মানুষ,330
রঙের,287,তা,424,অনেক,354,যায়,504,আমাকে,307,বেশ,330
তাঁর,279,এমন,404,হলো,352,জন্যে,489,চলে,305,সব,330
বছর,278,কেন,402,এখন,350,ছিল,482,এখন,302,তা,326
থাকে,273,করা,401,করেন,334,শুধু,481,মধ্যে,292,যায়,325
আজ,270,মত,394,এমন,330,সেটি,481,তখন,290,গেল,324
স্যার,269,সময়,392,থাকে,326,তাই,471,নাই,287,প্রথম,308
ছিলেন,267,করার,390,করার,320,এখন,461,ওই,284,হয়ে,306
আগে,264,হতে,387,মাঝে,310,কেউ,459,যেন,281,কাছে,303
কেমন,262,গিয়ে,377,মানুষ,307,সব,458,সব,279,আগে,302
এখন,256,যেন,371,হিসেবে,306,শুরু,454,এসে,277,তারা,297
তখন,254,বা,363,পারে,300,সবাই,450,মানুষ,275,শুরু,290
কিন্তু,253,কেউ,360,পর,297,তাহলে,436,টাকা,274,মানুষের,288
কেন,253,তাই,358,আমরা,294,বলে,433,পারে,269,দিয়ে,286
বেশ,253,নি,354,নয়,289,কাছে,423,কেন,269,দিয়ে,286
করেন,252,চলে,335,মতো,288,সঙ্গে,416,দেখে,268,থাকে,285
ঠিক,251,আরো,334,দেখা,287,পরীক্ষা,393,করার,267,দেখে,281
the,251,হয়েছে,329,মানুষের,284,বই,387,কাছে,266,কি,281
মানে,249,একটু,324,তাই,283,জানি,387,অনেক,262,নাম,281
বসে,247,পড়ে,313,শুরু,279,মানুষের,385,এবং,260,তো,280
