 ,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
অথবা,9,231,108,4,37,32
অন্য,57,126,105,255,108,234
অসাধারন,0,0,6,2,4,0
আবারো,0,10,6,1,113,1
আমরা,241,445,294,1132,336,400
আমাদের,195,594,379,1481,435,646
আরও,149,2,121,163,0,128
আরো,0,334,27,58,320,15
ঈদ,0,1,234,27,6,0
ঈদের,3,4,164,54,29,0
উঠল,187,1,34,16,2,45
উপর,10,3,182,68,214,94
উপরে,8,3,33,9,30,147
এটা,63,233,103,223,214,52
এটি,31,16,78,192,29,85
এদের,124,15,45,10,30,57
এবার,88,146,98,25,161,35
এরা,85,11,41,21,33,41
এল,185,7,8,19,28,27
এসব,135,259,85,21,81,16
ওই,318,26,51,18,284,14
ওঠে,169,171,28,24,30,60
ওপর,508,166,29,153,9,13
ওর,289,74,106,8,96,9
ওরা,189,145,36,1,145,22
কখনও,90,230,133,113,0,34
কজেই,0,0,0,0,0,0
করত,128,19,24,30,1,75
করল,126,22,64,85,3,54
করলেন,138,38,53,72,26,41
করার,141,390,320,731,267,202
করেছিল,116,4,7,106,39,53
করেছিলো,0,0,0,0,0,0
করেছে,105,117,100,326,166,107
করেছেন,142,30,147,119,27,123
কাজেই,83,3,7,185,1,51
কি,598,451,591,357,676,281
কী,612,1125,41,714,231,366
কেউ,71,360,180,459,455,131
কেবল,74,57,37,6,114,155
কোন,24,751,917,109,931,745
কোনও,200,0,3,15,0,2
কোনো,3,111,139,882,8,39
খুব,80,537,376,624,247,230
খুবই,5,29,29,148,19,82
গাছের,82,9,24,8,14,74
গিয়ে,66,377,133,135,333,10
গুরুত্বপূর্ণ,10,20,30,155,1,54
গেল,324,45,93,177,537,324
গেলাম,53,47,29,48,165,51
গেলো,1,208,90,3,18,1
চা,110,75,158,10,57,47
ছিলেন,267,28,117,52,30,137
ছিলো,0,533,231,14,2,4
ছেলেমেয়েদের,1,2,2,144,2,1
জন্য,310,21,867,907,555,812
জন্যে,8,690,16,489,1,4
জানি,76,154,85,387,137,61
টাকা,93,144,140,185,274,54
ডিম,20,5,6,0,19,41
তখন,254,250,254,799,290,226
তবু,18,9,93,15,241,21
তরুণ,44,13,6,172,20,50
তাঁরা,5,0,14,105,6,10
তাই,113,358,283,471,254,249
তার,578,1920,1253,1320,916,1091
তারা,186,545,260,1006,102,297
তাহলে,107,148,189,436,85,87
তৈরি,125,112,117,249,3,145
তৈরী,0,3,19,22,109,3
তো,457,856,42,158,427,280
দিয়ে,383,656,635,695,702,286
দেওয়া,42,1,24,297,3,79
দেখা,163,210,287,161,254,601
দেশ,15,16,63,267,63,118
দেয়,103,228,101,95,133,56
দেয়া,0,192,189,129,178,14
ধরনের,29,6,67,279,18,218
ধূসর,22,8,8,0,5,29
নাই,80,121,99,35,287,80
নানা,48,23,83,118,26,356
নি,45,354,18,12,24,263
নিজের,31,172,180,314,130,194
নিয়ে,457,802,774,1075,697,458
নীল,100,33,57,2,28,77
নয়,173,95,289,552,179,140
পরীক্ষা,13,39,21,393,24,8
পরীক্ষার,2,19,29,277,20,3
পা,48,48,38,37,75,74
পাওয়া,0,0,25,8,3,65
পাখি,48,14,29,1,28,261
পাতা,52,27,25,7,29,47
পারবে,15,81,18,208,67,23
পুরুষ,59,16,48,27,21,33
পৃথিবীর,16,50,116,277,27,79
প্রজাতি,1,2,0,2,5,15
প্রাচীন,164,19,90,2,16,118
পড়ে,227,313,113,260,221,102
ফাঁস,3,2,12,162,5,5
বই,56,40,39,387,134,229
বড়,0,2,19,76,4,131
