 ,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
অংশ,16,19,80,79,46,61
অচেনা,8,13,17,3,64,17
অজানা,5,12,28,7,17,73
অটোগ্রাফ,0,0,0,83,1,1
অতি,31,56,20,12,26,109
অত্যন্ত,91,25,75,93,7,16
অথচ,50,39,87,45,52,60
অথবা,9,231,108,4,37,32
অদ্ভুত,0,94,49,0,51,53
অধ্যাপক,132,0,2,21,5,4
অনুভব,12,82,25,88,10,24
অনুভূতি,31,62,17,13,5,20
অনুযায়ী,16,21,70,14,2,9
অন্তত,11,34,29,40,10,71
অন্য,57,126,105,255,108,234
অন্যতম,41,9,34,5,24,61
অপূর্ব,17,5,11,11,16,83
অপেক্ষা,28,88,46,70,30,36
অফিসে,10,34,26,20,58,4
অবশেষে,8,58,42,0,24,85
অবশ্য,229,259,61,25,21,121
অবশ্যই,17,25,64,30,18,50
অবস্থায়,14,66,45,16,20,19
অবস্থিত,13,5,17,1,6,70
অবাক,114,41,28,82,73,73
অভ,169,0,0,0,0,5
অর্থ,34,14,68,67,16,25
অর্থাৎ,65,12,69,33,2,16
অল্প,22,32,31,50,12,71
অসংখ্য,12,23,21,126,8,32
অসাধারণ,16,16,12,64,7,121
আঃ,0,0,81,0,0,0
আগেই,64,50,42,48,75,86
আগের,32,55,45,37,74,86
আগ্রহ,11,30,20,83,19,20
আচ্ছা,52,75,48,4,23,11
আছি,38,54,68,61,50,41
আজ,270,151,232,36,156,217
আজও,107,3,57,0,1,30
আজকাল,29,10,7,71,38,3
আজকে,2,102,89,25,55,6
আনন্দ,8,70,73,92,42,57
আন্দালিব,67,0,0,0,0,0
আপনার,59,142,162,53,120,126
আপনি,126,122,130,50,112,92
আবারও,6,97,43,2,5,25
আবারো,0,10,6,1,113,1
আবিষ্কার,0,15,21,131,29,6
আমরা,241,445,294,1132,336,400
আমাকে,171,597,394,373,307,73
আমাদের,195,594,379,1481,435,646
আমি,1110,2111,1175,2283,1218,382
আমিও,29,82,58,36,38,16
আরও,149,2,121,163,0,128
আরে,29,113,29,2,36,6
আরেকটা,5,17,11,23,59,13
আরো,0,334,27,58,320,15
আলাদা,28,22,17,63,38,122
আলী,87,0,17,5,21,60
আলো,91,66,32,17,51,58
আল্লাহ,5,5,106,4,5,1
আশরাফি,152,0,1,0,0,0
আশা,14,32,40,71,24,62
আশ্চর্য,93,50,18,13,24,9
আসছে,38,129,62,40,68,33
আসতে,28,90,50,87,80,27
আসবে,24,89,48,47,55,32
আসল,10,18,20,30,29,82
আসলেই,2,33,14,21,9,74
আসা,12,61,44,33,57,62
আসার,31,58,53,38,85,33
আস্তে,4,6,5,12,59,36
আহমদ,65,0,5,34,10,0
ইচ্ছে,43,119,41,79,97,55
ইতিহাস,61,11,46,41,38,72
ইত্যাদি,12,36,60,22,58,109
ইন,20,11,78,1,8,5
ইনাম,0,0,0,0,0,69
ঈদ,0,1,234,27,6,0
ঈদের,3,4,164,54,29,0
ঈশ্বর,30,25,73,0,3,12
উঠতে,37,42,16,23,58,17
উঠল,187,1,34,16,2,45
উঠলো,0,36,9,1,86,0
উঠেছে,78,29,32,22,14,29
উত্তর,115,36,25,88,36,128
উপর,10,3,182,68,214,94
উপরে,8,3,33,9,30,147
উপায়,33,48,27,31,62,9
এইসব,14,29,68,2,16,10
একই,47,41,85,129,75,104
একটা,690,1144,472,1754,1358,405
একটি,694,241,786,701,118,347
একদম,1,86,28,0,45,3
একমাত্র,21,23,64,23,52,68
একা,35,61,47,29,59,35
একাধিক,2,2,8,10,5,75
একে,37,80,49,22,11,38
একেবারে,30,18,16,89,18,49
এখনও,56,152,87,62,2,40
এখনো,0,12,32,81,145,73
এগিয়ে,31,61,47,89,66,14
এটা,63,233,103,223,214,52
এটি,31,16,78,192,29,85
এদের,124,15,45,10,30,57
এবং,638,1045,859,933,260,1359
এবার,88,146,98,25,161,35
এভাবে,48,90,86,56,29,11
এমন,127,404,330,77,141,331
এমনকি,1,1,43,15,81,77
এর,1004,271,446,294,118,370
এরকম,24,92,5,108,171,1
এরা,85,11,41,21,33,41
এল,185,7,8,19,28,27
এলাম,81,10,30,8,27,2
এলো,1,67,90,14,65,3
এসব,135,259,85,21,81,16
এসেছি,29,32,39,76,25,32
ওই,318,26,51,18,284,14
ওকে,125,46,38,3,63,4
ওখানে,47,27,18,1,82,6
ওটা,59,42,3,1,88,5
ওঠে,169,171,28,24,30,60
ওদের,130,59,81,3,100,13
ওপর,508,166,29,153,9,13
ওর,289,74,106,8,96,9
ওরা,189,145,36,1,145,22
ওহ্,70,0,0,0,0,0
কখন,49,68,18,14,30,12
কখনও,90,230,133,113,0,34
কখনো,0,6,44,167,217,29
