 ,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
আমাকে,171,597,394,373,307,73
আমাদের,195,594,379,1481,435,646
আমি,1110,2111,1175,2283,1218,382
আরো,0,334,27,58,320,15
একটি,694,241,786,701,118,347
এবং,638,1045,859,933,260,1359
এমন,127,404,330,77,141,331
এর,1004,271,446,294,118,370
ওই,318,26,51,18,284,14
ওপর,508,166,29,153,9,13
করার,141,390,320,731,267,202
কী,612,1125,41,714,231,366
কেউ,71,360,180,459,455,131
কোন,24,751,917,109,931,745
কোনো,3,111,139,882,8,39
খুব,80,537,376,624,247,230
গিয়ে,66,377,133,135,333,10
গেল,324,45,93,177,537,324
ছিল,893,38,201,482,546,862
ছিলো,0,533,231,14,2,4
জন্য,310,21,867,907,555,812
জন্যে,8,690,16,489,1,4
তাকে,82,465,235,293,242,145
তাদের,127,500,404,1382,215,555
তারা,186,545,260,1006,102,297
তুমি,197,463,387,70,191,87
তো,457,856,42,158,427,280
তোমার,123,440,404,52,142,74
দেশে,19,25,78,555,94,112
দেশের,29,48,119,1223,81,152
নানা,48,23,83,118,26,356
নিয়ে,0,4,78,102,9,489
নয়,173,95,289,552,179,140
বলল,711,12,67,122,4,75
বললেন,496,15,49,98,59,99
বিশেষ,62,87,116,42,58,357
বেশ,253,436,161,79,76,330
ব্লগার,6,59,606,27,2,2
বড়,302,224,190,672,242,134
ভালো,189,449,88,330,201,49
মত,49,394,190,68,5,526
মতো,62,202,288,374,368,60
মাঝে,62,95,310,354,141,526
যখন,118,183,220,669,200,172
যদি,37,252,272,539,154,160
শুরু,85,283,279,454,319,290
সঙ্গে,493,11,126,416,28,36
সাথে,7,810,724,326,660,1083
সেটা,20,132,140,761,166,117
হচ্ছে,77,207,247,651,114,264
হয়,0,12,230,100,8,457
হয়ে,0,12,93,78,8,356
হল,691,88,131,92,3,454
হলো,2,276,352,246,594,29
