না , 2370
করে , 2335
আমি , 1818
এই , 1788
আমার , 1468
একটা , 1423
আমাদের , 1208
তাদের , 1089
তার , 1033
সেই , 1003
দেশের , 956
হয় , 952
আমরা , 922
থেকে , 901
যে , 901
নিয়ে , 891
এবং , 816
কিন্তু , 809
করতে , 758
তারা , 756
কথা , 745
হবে , 731
জন্য , 724
কোনো , 714
হয়ে , 659
করা , 649
তখন , 628
সেটা , 594
করার , 585
কিছু , 585
দিয়ে , 581
বড় , 569
একটি , 565
হয়েছে , 558
আছে , 557
নেই , 550
কী , 549
যখন , 522
মনে , 521
খুব , 513
মানুষ , 510
আর , 505
হচ্ছে , 505
একজন , 501
অনেক , 493
নয় , 466
যায় , 432
যদি , 427
এক , 424
সে , 411
দেশে , 408
সেটি , 400
পারে , 396
শুধু , 385
ছিল , 382
সব , 380
জন্যে , 377
তাই , 374
সবাই , 372
পরীক্ষা , 368
শুরু , 360
এখন , 359
বলে , 357
বই , 355
কেউ , 354
সঙ্গে , 351
তাহলে , 343
কাছে , 327
সময় , 315
জানি , 310
পর , 306
আমাকে , 304
যারা , 302
মতো , 300
কি , 289
মানুষের , 284
রকম , 282
দিতে , 278
মাঝে , 277
ভালো , 271
দেওয়া , 264
বিশ্ববিদ্যালয়ের , 259
কাজ , 255
পরীক্ষার , 253
বা , 252
কিংবা , 249
নিজের , 249
করেছে , 244
সাথে , 244
আগে , 241
বেশি , 239
ধরনের , 239
হতে , 239
পড়ে , 236
শেষ , 235
প্রশ্ন , 228
এর , 228
বের , 227
ভর্তি , 224
তাকে , 220
তৈরি , 219
চেষ্টা , 219
পৃথিবীর , 219
বলতে , 217
থাকে , 214
সবচেয়ে , 214
গেছে , 212
নতুন , 212
অন্য , 212
দেখে , 209
ঠিক , 208
হলো , 207
হিসেবে , 206
একটু , 205
ছোট , 205
বছর , 203
পারি , 203
দেখতে , 201
তিনি , 197
করি , 196
দেশ , 191
যাবে , 187
কেন , 186
বাংলাদেশের , 184
কারণ , 183
যেন , 180
বসে , 180
এটা , 180
হলে , 178
হয়েছিল , 171
সেখানে , 168
যেতে , 167
লেখা , 167
কারণে , 166
দিন , 165
হাতে , 163
পারবে , 159
সত্যি , 158
তাঁর , 158
হওয়ার , 156
করেছি , 156
এটি , 155
সুযোগ , 154
হয়নি , 153
এত , 151
সারা , 151
ভেতর , 149
কাজেই , 149
দুই , 149
সবার , 147
যাচ্ছে , 147
আরও , 145
পুরো , 145
প্রায় , 144
ফাঁস , 144
লেখাপড়া , 143
নিতে , 142
টাকা , 141
বিশ্ববিদ্যালয় , 141
সরকার , 140
সম্ভব , 139
বিষয় , 138
ব্যাপার , 138
মা , 138
চোখে , 137
হাজার , 137
বলা , 136
পর্যন্ত , 136
খুবই , 135
তুলে , 135
প্রথম , 134
গেল , 134
বিশ্ববিদ্যালয়ে , 131
দেওয়ার , 131
দেখা , 130
ছবি , 130
ওপর , 130
কখনো , 130
বুঝতে , 129
ছেলেমেয়েদের , 129
করছে , 129
আসলে , 125
তো , 124
ব্যবহার , 124
শিক্ষা , 124
দিকে , 122
নিশ্চয়ই , 122
গুরুত্বপূর্ণ , 121
ধরে , 121
গিয়ে , 120
ছেলে , 120
কেমন , 118
সরকারের , 118
দিয়েছে , 117
জাতীয় , 117
করবে , 117
করেন , 117
চলে , 116
তরুণ , 116
কম , 116
নেওয়া , 115
আবার , 115
হঠাৎ , 114
স্বপ্ন , 113
ধারণা , 112
আবিষ্কার , 111
দেখি , 111
একই , 110
তা , 110
শক্তি , 109
সামনে , 109
চাই , 108
শিক্ষক , 108
তাদেরকে , 108
ছাত্র , 108
অসংখ্য , 108
এসেছে , 108
করেছেন , 107
মাথা , 107
খবরের , 106
দেখেছি , 105
সবাইকে , 105
মারা , 105
এসে , 105
মিলে , 104
হাত , 104
বিষয়টি , 104
বাবা , 103
নাম , 102
তাঁদের , 102
মেয়ে , 101
মাত্র , 99
জানে , 98
ভেতরে , 97
বিশাল , 97
খারাপ , 97
হত্যা , 97
হয়তো , 96
ঢাকা , 96
বিশ্বাস , 96
কীভাবে , 96
কে , 96
সেগুলো , 96
ঘটনা , 96
তাঁরা , 95
ফেলে , 95
দেয়া , 93
ছাত্রছাত্রীদের , 93
তবে , 92
পড়তে , 91
ফিরে , 91
দেখার , 91
বলল , 91
হতো , 91
নানা , 91
মানুষকে , 89
ভিন্ন , 88
কত , 88
বললেন , 87
একবার , 87
স্কুলের , 86
দুটি , 86
বাংলাদেশ , 86
আসে , 86
জীবন , 86
সহজ , 86
এরকম , 85
লিখে , 84
লিখতে , 84
কখনও , 84
জানতে , 84
বিচার , 83
কোন , 83
পাবলিক , 83
মধ্যে , 83
বইয়ের , 83
নিজেদের , 81
শিক্ষকদের , 81
দরকার , 81
অটোগ্রাফ , 80
চিন্তা , 80
