Emon Jubayer,value,Hasan Mahbub,value,Kandari Athorbo,value,MZI,value,Nir Shondhani,value,Tareque Anu,value
কপিল,231,জেনি,114,আল্লাহ,106,লেখাপড়া,159,বোধহয়,45,হয়ত,99
অভ,169,ববি,108,সেমাই,90,ছেলেমেয়েদের,144,তিনটা,45,মিলল,76
আশরাফি,152,হয়তোবা,94,আঃ,81,ছাত্রছাত্রীদের,101,প্রীতিলতা,39,যেয়ে,71
তানিয়া,138,জেনির,70,নবাব,75,শিক্ষকদের,96,বেতার,38,পরপরই,70
ফারহান,120,ববির,64,লিখেছেনঃ,72,ছেলেমেয়েরা,89,দরোজা,34,ইনাম,69
সালমা,108,নানারকম,49,বুবুর,62,অটোগ্রাফ,83,সেন্টমার্টিন,33,বইয়ের,63
শ্যামল,93,শাহেদ,49,সামহোয়্যার,61,নূতন,79,নুরুল,32,সেখানের,60
সুলতান,77,সাইকো,43,বেদে,57,ছাত্রছাত্রীরা,77,দাঁড়ানো,32,ইউরি,58
মিঞা,75,ইদানিং,43,ডাকটিকেট,57,আওয়ামী,68,অন্ততঃ,32,প্যাঁচা,58
মরমি,75,কমেন্ট,43,হুম,55,লেখাপড়ার,67,সেল,30,পড়া,56
মোশতাক,74,যেকোন,42,হেটে,52,গণিত,65,জামান,29,ব্যপক,56
মেহজাবীন,72,সনি,41,ডলি,48,শিক্ষকেরা,63,আমদানী,29,পাখিটি,50
ওহ্,70,হারুন,40,মৌসুমী,48,যুদ্ধাপরাধীদের,61,শিবির,29,হওয়া,49
রাহাত,69,শাহীন,39,পর্যটন,42,বিচারের,61,আগ্রাবাদ,28,বার্ড,46
প্রোফেসর,67,অনুভূতির,37,নবী,41,যাঁরা,53,ভাবলো,26,শিকারের,45
আন্দালিব,67,দীপ্তিময়ী,31,যূথী,41,বিএনপি,52,বলদ,26,পাতি,41
সুফি,67,হারুনের,30,ঈসা,39,প্রতিবন্ধী,51,নাজমুল,26,নেওয়া,41
কপিলের,66,সীমার,30,যাবেনা,39,নিউক্লিয়ার,50,গাড়িটা,25,ভাষায়,38
ফরসা,65,আনিস,30,বুবু,39,যুদ্ধাপরাধীর,49,বাবলু,23,সেবার,37
দেখল,65,প্লিজ,29,কুমারী,39,এবারে,45,এয়ারপোর্ট,23,ভাইয়ের,36
সোয়াচ,61,হাহা,28,সাঃ,38,কোনো,44,পাকিস্তানী,23,হ্রদ,36
খ্রিস্টাব্দ,60,শূচিস্মিতা,28,রাশির,38,লীগ,44,কোম্পানীর,23,প্যাঁচার,36
তান্ত্রিক,60,হাহাহা,28,তাস,37,ছাত্রছাত্রী,44,দুর,22,পড়ার,36
ভারি,59,শাপলা,27,পারছিনা,37,ছাত্রলীগের,43,দুরে,22,ঠাকুরের,35
সঞ্জয়,57,ঠিকমত,27,মামুন,37,পাট,42,সমীর,21,রাজশাহী,35
ইশরাত,56,থিকা,27,জনি,36,শিক্ষানীতিতে,40,বাসটা,21,প্রাণীর,34
হুমম,56,পিশপাশ,27,হঠাত,36,পিএইচডি,39,জাপানী,20,সোভিয়েত,34
সিকদার,54,দুঃস্বপ্ন,27,নতুবা,36,হুমায়ূন,37,জামানের,20,চুলু,34
গ্রাউন্ড,54,রিনা,26,স্বস্তিকা,35,মুখস্থ,36,পঞ্চাশ,20,হাঁস,33
মেহনাজ,54,কামরুল,26,থাকেনা,34,ধর্মান্ধ,36,আবসার,20,চললাম,32
ডক্টর,54,অপরকে,26,পর্যায়,34,কোচিং,36,একশো,20,মুহিত,31
বাঙালির,53,একঘেয়ে,26,অশ্রু,33,একাত্তরে,35,যদু,20,ওয়েস্ট,31
আজীজ,53,কেনো,25,লুসিফার,31,বইমেলায়,34,নগদ,19,অরোরা,31
পৌঁছে,52,ঘুমুতে,25,হোরাস,30,চমকপ্রদ,33,জব্বার,19,বাড়ীতে,30
তাবাসসুম,51,চুম্বন,24,রাকিব,30,একটুখানি,33,জুনায়েদ,19,বাড়ী,30
পরবর্তীকালে,51,জেনিকে,23,আইসিস,30,এইচএসসি,32,দুদিন,19,সবসময়ই,30
সুপ্তি,50,বিলকিস,23,যীশু,29,লীগের,32,আগষ্ট,19,পোকা,30
অবধি,48,শাহেদের,23,চলচ্চিত্রের,29,হেফাজতে,32,আপাততঃ,19,দিয়েই,30
ওয়াহেদ,48,যাচ্ছিলো,23,সাধারনত,28,তরুণেরা,32,ফিওনা,19,হাঙ্গেরির,30
ফরিদা,46,গালিব,23,শিলা,27,মন্ত্রণালয়,31,দুটোর,18,রানার,29
ঝুঁকে,46,সাহসের,22,শফিকের,27,কোনোভাবে,31,কতোটা,18,মেরু,29
ইলিয়াস,45,বাজছে,22,সিরাজদ্দৌলা,26,প্রজন্মকে,29,হাঁটা,18,মুসা,29
